trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,min_arrival_time,max_departure_time,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset
t_1058682_b_6534_tn_8,15:29:00,15:29:00,2392580,8,,0,0,4991.45731315988,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,,,2392579,9,,0,0,5646.02704126843,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,,,2392578,10,,0,0,5940.74931850743,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,15:33:00,15:33:00,2392577,11,,0,0,6727.3628520458,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,,,2392576,12,,0,0,7508.48477567243,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,,,2392575,13,,0,0,7770.35581538848,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,,,2392574,14,,0,0,8258.23927716415,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,,,2392573,15,,0,0,8725.05699586502,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,,,2392572,16,,0,0,8973.66574683274,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,15:38:00,15:38:00,2392571,17,,0,0,9316.86922534847,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_8,15:45:00,15:45:00,2392586,18,,0,0,10107.22329129,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:20:00,16:20:00,2392586,1,,0,0,0,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:22:00,16:22:00,2696015,2,,0,0,1138.12058858811,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:23:00,16:23:00,2392585,3,,0,0,1458.85110888065,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392584,4,,0,0,2159.83250505193,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392583,5,,0,0,2514.58797012031,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392582,6,,0,0,3833.82691881731,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:28:00,16:28:00,2392581,7,,0,0,4836.20644361031,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:29:00,16:29:00,2392580,8,,0,0,4991.45731315988,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392579,9,,0,0,5646.02704126843,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392578,10,,0,0,5940.74931850743,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:33:00,16:33:00,2392577,11,,0,0,6727.3628520458,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392576,12,,0,0,7508.48477567243,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392575,13,,0,0,7770.35581538848,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392574,14,,0,0,8258.23927716415,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392573,15,,0,0,8725.05699586502,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,,,2392572,16,,0,0,8973.66574683274,0,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:38:00,16:38:00,2392571,17,,0,0,9316.86922534847,1,,,,,1,1,,,,,,,,
t_1058682_b_6534_tn_9,16:45:00,16:45:00,2392586,18,,0,0,10107.22329129,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,05:50:00,05:50:00,2421988,1,,0,0,0,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,05:51:00,05:51:00,2392570,2,,0,0,264.334718884548,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,05:52:00,05:52:00,2392569,3,,0,0,1304.63036324754,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,05:53:00,05:53:00,2392568,4,,0,0,1901.11602205933,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,05:55:00,05:55:00,2392567,5,,0,0,2420.29994923265,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:00:00,06:00:00,2392566,6,,0,0,3092.79549910966,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:05:00,06:05:00,2392565,7,,0,0,3982.19058396176,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:10:00,06:10:00,2392564,8,,0,0,4591.00976527839,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:14:00,06:14:00,2392563,9,,0,0,5507.35547842327,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:17:00,06:17:00,2392562,10,,0,0,6713.87477286221,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:19:00,06:19:00,2392561,11,,0,0,8131.76602354365,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:21:00,06:21:00,2392560,12,,0,0,10821.2742701402,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:34:00,06:34:00,2392559,13,,0,0,14281.8518451298,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:38:00,06:38:00,2392558,14,,0,0,15483.3920548061,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:41:00,06:41:00,2392557,15,,0,0,16052.4478013271,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:43:00,06:43:00,2392556,16,,0,0,17117.6900868332,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_1,06:45:00,06:45:00,2421988,17,,0,0,18972.97468872,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,14:50:00,14:50:00,2421988,1,,0,0,0,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,14:51:00,14:51:00,2392570,2,,0,0,264.334718884548,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,14:52:00,14:52:00,2392569,3,,0,0,1304.63036324754,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,14:53:00,14:53:00,2392568,4,,0,0,1901.11602205933,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,14:55:00,14:55:00,2392567,5,,0,0,2420.29994923265,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:00:00,15:00:00,2392566,6,,0,0,3092.79549910966,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:05:00,15:05:00,2392565,7,,0,0,3982.19058396176,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:10:00,15:10:00,2392564,8,,0,0,4591.00976527839,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:14:00,15:14:00,2392563,9,,0,0,5507.35547842327,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:17:00,15:17:00,2392562,10,,0,0,6713.87477286221,1,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:19:00,15:19:00,2392561,11,,0,0,8131.76602354365,0,,,,,1,1,,,,,,,,
t_1058684_b_6534_tn_10,15:21:00,15:21:00,2392560,12,,0,0,10821.2742701402,1,,,,,1,1,,,,,,,,
