stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2392460,,,Shawnee Manor,,40.705746733909,-84.148059033489,,,0,,America/New_York,,,1
2392461,,,Shawnee Business Park North,,40.6986323368027,-84.1512916566692,,,0,,America/New_York,,,1
2392463,,,Elmview Pizza,,40.686513263014,-84.149095898697,,,0,,America/New_York,,,1
2392464,,,Central Point Parkway,,40.705250502408,-84.09714521204,,,0,,America/New_York,,,1
2392465,,,Shawnee Industrial Center,,40.691392040345,-84.12028905072,,,0,,America/New_York,,,1
2392466,,,Ace Hardware,,40.686598461696,-84.12807909401,,,0,,America/New_York,,,1
2392467,,,Elmview Business Park,,40.686444269947,-84.150390486415,,,0,,America/New_York,,,1
2392468,,,Apollo Career Center,,40.6931429768302,-84.1497692131111,,,0,,America/New_York,,,1
2392469,,,Shawnee Business Park South,,40.6985479574196,-84.1514924045301,,,0,,America/New_York,,,1
2392470,,,Shawnee Plaza North,,40.704653349033,-84.150731052291,,,0,,America/New_York,,,1
2392471,,,Bradfield Center,,40.7342088737477,-84.1190664177798,,,0,,America/New_York,,,1
2392472,,,YMCA Annex,,40.738652,-84.1083,,,0,,America/New_York,,,1
2392473,,,Habitat Restore,,40.737621059187,-84.113271696503,,,0,,America/New_York,,,1
2392474,,,Husky Refinery,,40.7216162692498,-84.1133956685211,,,0,,America/New_York,,,1
2392475,,,Occupational Health,,40.7092110767756,-84.1171129174012,,,0,,America/New_York,,,1
2392476,,,Orthopedic Institute,,40.697109,-84.087,,,0,,America/New_York,,,1
2392477,,,Precision Thermoplastic,,40.686521274517,-84.0896555044432,,,0,,America/New_York,,,1
2392478,,,Heart Institute,,40.693271,-84.09,,,0,,America/New_York,,,1
2392479,,,Marathon Station,,40.702057,-84.0904,,,0,,America/New_York,,,1
2392480,,,Beer Barrel Pizza (Dixie Highway),,40.709608589736,-84.118107613164,,,0,,America/New_York,,,1
2392481,,,Job and Family Services South [deprecated],,40.714429444778,-84.11583540015,,,0,,America/New_York,,,1
2392482,,,Mello Crème,,40.726804975874,-84.113426260453,,,0,,America/New_York,,,1
2392483,,,Liberty School,,40.730215216985,-84.10968181822,,,0,,America/New_York,,,1
2392484,,,Dollar General (Kibby Street),,40.730307867232,-84.104713570903,,,0,,America/New_York,,,1
2392485,,,WOCAP,,40.730793523435,-84.102280463311,,,0,,America/New_York,,,1
2392486,,,Superior Credit Union,,40.730569069848,-84.084411620612,,,0,,America/New_York,,,1
2392487,,,P and G (Cool Road),,40.755371975554,-83.994169915889,,,0,,America/New_York,,,1
2392488,,,Marimor Industries,,40.757524306744,-84.061575633379,,,0,,America/New_York,,,1
2392489,,,Lima Pallet,,40.770317266957,-84.080135857952,,,0,,America/New_York,,,1
2392490,,,Ford Plant,,40.7738,-84.0879,,,0,,America/New_York,,,1
2392491,,,Nickles Bakery,,40.76750311778,-84.089459954431,,,0,,America/New_York,,,1
2392492,,,Schoonover Pool,,40.752628720548,-84.093963848839,,,0,,America/New_York,,,1
2392493,,,Federal Building,,40.7426,-84.11004,,,0,,America/New_York,,,1
2392494,,,St. Rita's Shelter (North Street),,40.742510430958,-84.119390707293,,,0,,America/New_York,,,1
2392495,,,Dollar General,,40.742559616284,-84.124774820824,,,0,,America/New_York,,,1
2392496,,,Lee's Chicken Allentown Road,,40.7446,-84.13249,,,0,,America/New_York,,,1
2392497,,,Lima Dental,,40.74637073472,-84.139333459506,,,0,,America/New_York,,,1
2392498,,,West Middle School,,40.744908965627,-84.146823135351,,,0,,America/New_York,,,1
2392499,,,Beer Barrel Pizza (Market Street),,40.73969,-84.15703,,,0,,America/New_York,,,1
2392500,,,West Elm Plaza - Regal Cinemas,,40.737058854198,-84.1575733427507,,,0,,America/New_York,,,1
2392501,,,Ohio State Beauty Academy,,40.7622,-84.1651,,,0,,America/New_York,,,1
2392502,,,WalMart (Allentown),,40.75179,-84.15369,,,0,,America/New_York,,,1
2392503,,,UNOH Event Center,,40.75932,-84.14698,,,0,,America/New_York,,,1
2392504,,,Chase Bank - Clock Tower Plaza,,40.751325619699,-84.146947836605,,,0,,America/New_York,,,1
2392505,,,Lochhaven,,40.746098037598,-84.137645590468,,,0,,America/New_York,,,1
2392506,,,Lima Sporting Goods Store,,40.744868879749,-84.13287952628,,,0,,America/New_York,,,1
