stop_id,stop_city
2392545,Lima
2392499,Allentown
2392577,Lima
2392491,Slabtown
2392473,Lima
2392523,Lima
2392468,Elmview
2392526,Lima
2392515,Lima
2392557,Lima
2392584,Lima
2392480,Elmview
2392485,Lima
2392582,Lima
2392506,Lima
2392517,Lima
2392585,Lima
2392472,Lima
2392519,Lima
2392461,Elmview
2392484,Lima
2392535,Lima
2392560,Bath Township
2392529,Lima
2392513,Lima
2392487,Bath Township
2392521,Lima
2392514,Lima
2392531,Lima
2392511,Lima
2392475,Lima
2394817,Elmview
2392563,Yoder
2392556,Lima
2392555,Slabtown
2392552,Lima
2392504,Lima
2392518,Lima
2392572,Lima
2392524,Lima
2392564,Yoder
2392464,Lima
2392567,Lima
2392528,Lima
2392570,Lima
2392574,Lima
2392478,Lima
2392537,Lima
2392490,Slabtown
2392510,Lima
2392507,Lima
2392481,Elmview
2392559,Bath Township
2392512,Lima
2392578,Lima
2392501,Allentown
2392543,Allentown
2392489,Slabtown
2392568,Lima
2392482,Lima
2392546,Lima
2392571,Lima
2392561,Yoder
2392558,Bath Township
2392544,Allentown
2392525,Lima
2392586,Lima
2392527,Lima
2392549,Lima
2394893,Elmview
2392550,Lima
2392580,Lima
2392496,Lima
2392476,Lima
2392539,Lima
2392492,Lima
2392493,Lima
2392566,Lima
2392466,Elmview
2392579,Lima
2392483,Lima
2392469,Elmview
2392467,Elmview
2394815,Lima
2392551,Lima
2421988,Lima
2392516,Lima
2392500,Lima
2392540,Allentown
2392460,Elmview
2392534,Lima
2392465,Elmview
2392479,Lima
2392554,Slabtown
2392471,Lima
2392532,Lima
2392530,Lima
2392575,Lima
2392497,Lima
2392508,Lima
2392565,Yoder
2392477,Lima
2392488,Slabtown
2392553,Lima
2392486,Lima
2392548,Lima
2392583,Lima
2392470,Elmview
2392520,Lima
2392576,Lima
2392562,Bath Township
2392502,Allentown
2392503,Lima
2392541,Elida
2392505,Lima
2392498,Lima
2392495,Lima
2392463,Elmview
2392569,Lima
2392581,Lima
2392542,Allentown
2392494,Lima
2392522,Lima
2392509,Lima
2392573,Lima
2392533,Lima
2392536,Lima
2392474,Lima
