route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message,booking_rule_id
7406,c_6122_b_6534_d_31,t_1307470_b_6534_tn_0,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307471_b_6534_tn_1,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307471_b_6534_tn_2,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307471_b_6534_tn_3,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307471_b_6534_tn_4,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307468_b_6534_tn_3,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307468_b_6534_tn_4,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307466_b_6534_tn_1,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307466_b_6534_tn_2,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307467_b_6534_tn_0,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307468_b_6534_tn_1,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307468_b_6534_tn_2,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307468_b_6534_tn_5,,Loop,0,,p_910564,,,,,,,,,,,
7406,c_6122_b_6534_d_31,t_1307468_b_6534_tn_6,,Loop,0,,p_910564,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058702_b_6534_tn_1,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058701_b_6534_tn_1,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058701_b_6534_tn_2,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058702_b_6534_tn_6,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058702_b_6534_tn_5,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058702_b_6534_tn_4,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058702_b_6534_tn_3,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058702_b_6534_tn_2,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058701_b_6534_tn_3,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058701_b_6534_tn_4,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058701_b_6534_tn_5,,Loop,0,,p_899585,,,,,,,,,,,
7407,c_6122_b_6534_d_31,t_1058701_b_6534_tn_6,,Loop,0,,p_899585,,,,,,,,,,,
7408,c_6122_b_6534_d_31,t_203709_b_6534_tn_0,,Loop,0,,p_178751,,,,,,,,,,,
7408,c_6122_b_6534_d_31,t_203823_b_6534_tn_0,,Loop,0,,p_178751,,,,,,,,,,,
7408,c_6122_b_6534_d_31,t_203822_b_6534_tn_0,,Loop,0,,p_178751,,,,,,,,,,,
7408,c_6122_b_6534_d_31,t_203821_b_6534_tn_0,,Loop,0,,p_178751,,,,,,,,,,,
7408,c_6122_b_6534_d_31,t_203820_b_6534_tn_0,,Loop,0,,p_178751,,,,,,,,,,,
