segment_id,link_id,ref_node_id,start_lr,end_lr,capacity,free_speed,bike_facility,ped_facility,parking,allowed_uses,l_lanes_added,r_lanes_added
0,6753,,413.0783208939057,485.88052953957475,,,,,,,2,
1,6753,,485.88052953957475,1194.1362261306613,,,,,,,0,
2,6754,,1146.0702997724882,1194.1362261306613,,,,,,,1,
3,6754,,619.0443026395299,685.9581184226623,,,,,,,1,
4,6754,,685.9581184226623,1146.0702997724882,,,,,,,0,
5,6808,,97.68174112888408,156.93550253372715,,,,,,,1,
6,6809,,483.2563773046474,540.3331166175105,,,,,,,1,
7,6809,,540.3331166175105,558.1534872398846,,,,,,,0,
8,7148,,503.3402458289669,646.7770887519788,,,,,,,0,
9,7148,,366.33379806804317,503.3402458289669,,,,,,,1,
10,7148,,646.7770887519788,704.4450543781825,,,,,,,1,
11,7149,,550.693497100664,704.4450543781825,,,,,,,0,
12,7149,,488.1981531339468,550.693497100664,,,,,,,1,
13,7220,,770.2616462116105,1059.2957173436566,,,,,,,0,
14,7220,,720.1085116109534,770.2616462116105,,,,,,,1,
15,7221,,999.4357888517452,1059.2957173436566,,,,,,,1,
16,7221,,269.7935529317239,999.4357888517452,,,,,,,0,
17,7221,,202.61550775826115,269.7935529317239,,,,,,,2,
