node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,activity_type,is_boundary,main_node_id
0,,-83.86974,40.89021,,,0,,motorway,0,
1,,-83.8651,40.89253,,,0,,secondary,0,
2,,-83.86298,40.8955,,,0,,motorway,0,
3,,-83.87163,40.88902,,,0,,motorway,0,
4,,-83.86906,40.89247,,,0,,secondary,0,
5,,-83.86399,40.89502,,,0,,motorway,0,
6,,-83.8789,40.90025,,,0,,residential,0,
7,,-83.87916,40.90048,,,0,,residential,0,
8,,-83.86733,40.89105,,,0,,residential,0,
9,,-83.86629,40.89004,,,0,,residential,0,
10,,-83.8791,40.89968,,,0,,residential,0,
11,,-83.87829,40.90047,,,0,,residential,0,
12,,-83.87788,40.90059,,,0,,residential,0,
13,,-83.86294,40.89257,,,0,,secondary,0,
14,,-83.86196,40.89258,,,0,,secondary,0,
15,,-83.85742,40.89252,,,0,,secondary,0,
16,,-83.8629,40.89111,,,0,,residential,0,
17,,-83.87261,40.88762,,,0,,residential,0,
18,,-83.88017,40.83249,,,0,,tertiary,0,
19,,-83.88021,40.84798,,,0,,tertiary,0,
20,,-83.88021,40.84884,,,0,,tertiary,0,
21,,-83.88026,40.86348,,,0,,tertiary,0,
22,,-83.88029,40.87504,,,0,,tertiary,0,
23,,-83.88029,40.87522,,,0,,tertiary,0,
24,,-83.88031,40.88743,,,0,,residential,0,
25,,-83.88031,40.88908,,,0,,tertiary,0,
26,,-83.88033,40.89136,,,0,,tertiary,0,
27,,-83.88034,40.89243,,,1,,secondary,0,
28,,-83.88037,40.89626,,,0,,tertiary,0,
29,,-83.88039,40.90197,,,0,,tertiary,0,
30,,-83.88042,40.92177,,,0,,tertiary,0,
31,,-83.86209,40.86347,,,0,,tertiary,0,
32,,-83.86198,40.87801,,,0,,tertiary,0,
33,,-83.86209,40.83438,,,0,,unclassified,0,
34,,-83.85855,40.89983,,,0,,residential,1,
35,,-83.86198,40.89987,,,0,,residential,0,
36,,-83.87732,40.88865,,,0,,residential,0,
37,,-83.87715,40.88823,,,0,,residential,0,
38,,-83.87729,40.88771,,,0,,residential,0,
39,,-83.8781,40.90013,,,0,,residential,0,
40,,-83.8803,40.88476,,,0,,motorway,0,
41,,-83.86278,40.89597,,,0,,motorway,0,
42,,-83.86191,40.91188,,,0,,tertiary,0,
43,,-83.86207,40.82766,,,0,,unclassified,0,
44,,-83.86207,40.82743,,,0,,unclassified,0,
45,,-83.87906,40.88723,,,0,,residential,0,
46,,-83.86208,40.84893,,,0,,residential,0,
47,,-83.87183,40.89245,,,0,,secondary,0,
48,,-83.87642,40.89243,,,0,,unclassified,0,
49,,-83.86212,40.92183,,,0,,unclassified,0,
50,,-83.87538,40.88793,,,0,,unclassified,0,
51,,-84.09596,40.91919,,,0,,residential,0,
52,,-84.05736,40.91945,,,1,,secondary,0,
53,,-84.05648,40.91999,,,0,,secondary,0,
54,,-84.05568,40.92046,,,0,,secondary,0,
55,,-84.05383,40.92154,,,0,,secondary,0,
56,,-84.04909,40.92346,,,0,,secondary,0,
57,,-84.24923,40.91831,,,0,,residential,0,
58,,-84.25012,40.9144,,,0,,residential,1,
59,,-84.14633,40.88159,,,0,,secondary,0,
60,,-84.14632,40.88288,,,0,,residential,1,
61,,-84.06151,40.91371,,,0,,residential,1,
62,,-84.06292,40.91435,,,0,,residential,0,
63,,-84.06366,40.92015,,,0,,residential,1,
64,,-84.06257,40.92033,,,0,,residential,0,
65,,-84.06078,40.92022,,,0,,residential,0,
66,,-84.25328,40.87418,,,0,,residential,0,
67,,-84.25326,40.87592,,,0,,residential,0,
68,,-84.25325,40.88809,,,0,,residential,0,
69,,-84.25338,40.90387,,,0,,residential,0,
70,,-84.33694,40.88102,,,0,,unclassified,0,
71,,-84.33943,40.88143,,,0,,residential,1,
72,,-84.05118,40.91419,,,0,,residential,1,
73,,-84.05285,40.91497,,,0,,residential,0,
74,,-84.20645,40.8866,,,0,,residential,1,
75,,-84.3158,40.89835,,,0,,residential,1,
76,,-84.29842,40.90532,,,0,,residential,0,
77,,-84.29731,40.9044,,,0,,primary,0,
78,,-84.29865,40.9079,,,0,,residential,1,
79,,-84.29445,40.90643,,,0,,primary,0,
80,,-84.29346,40.90559,,,0,,residential,0,
82,,-84.29227,40.90479,,,0,,residential,0,
83,,-84.29217,40.90533,,,0,,residential,0,
84,,-84.29219,40.90611,,,0,,residential,0,
85,,-84.29324,40.90535,,,0,,residential,0,
86,,-84.2926,40.90534,,,0,,residential,0,
87,,-84.29261,40.90488,,,0,,residential,0,
88,,-84.29212,40.90954,,,0,,secondary,0,
89,,-84.32961,40.86817,,,0,,secondary,0,
90,,-84.33229,40.86904,,,0,,residential,1,
91,,-84.29481,40.90905,,,0,,residential,0,
92,,-84.29448,40.90879,,,0,,residential,1,
93,,-84.29251,40.89222,,,0,,residential,0,
94,,-84.29215,40.89228,,,0,,residential,1,
95,,-84.31893,40.88312,,,0,,residential,1,
96,,-84.31073,40.85946,,,0,,residential,0,
97,,-84.31073,40.85954,,,0,,residential,0,
98,,-84.06189,40.91683,,,0,,residential,0,
99,,-84.06219,40.91652,,,0,,residential,0,
100,,-84.06239,40.9166,,,0,,residential,1,
101,,-84.06151,40.9162,,,0,,residential,0,
102,,-84.05919,40.9173,,,0,,residential,0,
103,,-84.0596,40.91696,,,0,,residential,0,
104,,-84.06023,40.91615,,,0,,residential,0,
105,,-84.06024,40.91576,,,0,,residential,1,
106,,-84.04983,40.91614,,,0,,tertiary,0,
107,,-84.05065,40.91508,,,0,,residential,0,
108,,-84.05094,40.91468,,,0,,residential,0,
109,,-84.05149,40.91541,,,0,,residential,1,
110,,-84.33557,40.88825,,,0,,residential,0,
111,,-84.33861,40.89243,,,0,,residential,1,
112,,-84.06858,40.91931,,,0,,residential,0,
113,,-84.06777,40.91698,,,0,,residential,0,
114,,-84.06711,40.91507,,,0,,residential,0,
115,,-84.06253,40.92283,,,0,,residential,0,
116,,-84.0753,40.91942,,,0,,residential,0,
117,,-84.32892,40.89541,,,0,,residential,0,
118,,-84.32897,40.8955,,,0,,residential,0,
119,,-84.12262,40.88906,,,0,,residential,0,
120,,-84.12269,40.88917,,,0,,residential,0,
121,,-84.33007,40.89728,,,0,,residential,0,
122,,-84.33662,40.89724,,,0,,residential,1,
123,,-84.05324,40.91952,,,0,,residential,1,
124,,-84.16668,40.86933,,,0,,residential,0,
125,,-84.15816,40.91124,,,0,,secondary,0,
126,,-84.15843,40.91119,,,0,,residential,0,
127,,-84.15816,40.9107,,,0,,secondary,0,
128,,-84.30709,40.90376,,,0,,residential,1,
129,,-84.30181,40.90375,,,0,,residential,0,
130,,-84.30127,40.90375,,,0,,residential,0,
131,,-84.30049,40.90378,,,0,,residential,0,
132,,-84.12882,40.90085,,,0,,residential,0,
133,,-84.12911,40.90085,,,0,,residential,0,
134,,-84.12948,40.90086,,,0,,residential,1,
135,,-84.05533,40.92012,,,0,,residential,0,
136,,-84.05616,40.91964,,,0,,residential,0,
137,,-84.05684,40.91924,,,0,,tertiary,0,
138,,-84.11505,40.89227,,,0,,secondary,0,
139,,-84.11514,40.89289,,,0,,residential,0,
140,,-84.11516,40.89304,,,0,,residential,1,
141,,-84.18866,40.92266,,,0,,residential,0,
142,,-84.1881,40.92262,,,0,,residential,0,
143,,-84.11941,40.89897,,,0,,residential,0,
144,,-84.11941,40.89883,,,0,,residential,0,
145,,-84.0752,40.91902,,,0,,residential,1,
146,,-84.0752,40.91928,,,0,,residential,0,
147,,-84.12276,40.88929,,,0,,secondary,0,
148,,-84.21025,40.88352,,,0,,secondary,0,
149,,-84.18976,40.91853,,,0,,residential,0,
150,,-84.19035,40.91808,,,0,,residential,0,
151,,-84.05583,40.91928,,,0,,residential,0,
152,,-84.11747,40.89133,,,0,,secondary,0,
153,,-84.11358,40.89285,,,0,,secondary,0,
154,,-84.0694,40.9143,,,0,,residential,0,
155,,-84.29864,40.90345,,,0,,primary,0,
156,,-84.29853,40.90353,,,0,,primary,0,
157,,-84.29566,40.90857,,,0,,residential,0,
158,,-84.29558,40.90852,,,0,,residential,0,
159,,-84.18772,40.9224,,,0,,residential,1,
160,,-84.18846,40.92284,,,0,,residential,0,
161,,-84.13812,40.86067,,,0,,secondary,0,
162,,-84.13801,40.86045,,,0,,secondary,0,
163,,-84.12881,40.90043,,,0,,residential,0,
164,,-84.1312,40.90059,,,0,,residential,1,
165,,-84.05282,40.90913,,,0,,residential,0,
166,,-84.05774,40.90925,,,0,,residential,1,
167,,-84.33839,40.86055,,,0,,residential,1,
168,,-84.33986,40.86067,,,0,,residential,0,
169,,-84.3403,40.86069,,,0,,residential,1,
170,,-84.2724,40.91888,,,0,,residential,0,
171,,-84.27076,40.91914,,,0,,residential,0,
172,,-84.12008,40.8961,,,0,,residential,1,
173,,-84.11992,40.89619,,,0,,residential,0,
174,,-84.1194,40.89619,,,0,,residential,0,
175,,-84.14969,40.88297,,,0,,residential,0,
176,,-84.14959,40.88309,,,0,,residential,0,
177,,-84.14947,40.88398,,,0,,residential,1,
178,,-84.14895,40.88256,,,0,,residential,0,
179,,-84.1293,40.90105,,,0,,residential,1,
180,,-84.13826,40.89774,,,0,,residential,0,
181,,-84.14014,40.89777,,,0,,residential,1,
182,,-84.32734,40.88834,,,0,,residential,0,
183,,-84.32736,40.88888,,,0,,residential,0,
184,,-84.32736,40.88897,,,0,,residential,0,
185,,-84.32781,40.88935,,,0,,residential,1,
186,,-84.33004,40.89553,,,0,,residential,0,
187,,-84.32765,40.88889,,,0,,residential,1,
188,,-84.2946,40.90634,,,0,,primary,0,
189,,-84.29573,40.90727,,,0,,residential,0,
190,,-84.29663,40.9073,,,0,,residential,0,
191,,-84.33012,40.90068,,,0,,residential,0,
192,,-84.33062,40.90068,,,0,,residential,0,
193,,-84.3307,40.90079,,,0,,residential,0,
194,,-84.06726,40.92382,,,0,,residential,0,
195,,-84.06849,40.92069,,,0,,residential,1,
196,,-84.06845,40.91931,,,0,,residential,0,
197,,-84.11007,40.91202,,,0,,residential,0,
198,,-84.11326,40.91235,,,0,,residential,1,
199,,-84.22235,40.89325,,,0,,residential,0,
200,,-84.25445,40.87501,,,0,,residential,0,
201,,-84.14811,40.88244,,,0,,residential,0,
202,,-84.32042,40.86243,,,0,,residential,0,
203,,-84.31869,40.86026,,,0,,residential,0,
