activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
14,C4,-112.05323979157902,33.45590584842105,"POLYGON ((-112.0634063 33.453770000000006,-112.0634063 33.458510000000004,-112.0462163 33.458510000000004,-112.0462163 33.453770000000006,-112.0634063 33.453770000000006))",POINT (-112.05323979157902 33.45590584842105),53,2902.677063124287,1227.4821743628297
15,C5,-112.03917068431375,33.456256511764714,"POLYGON ((-112.0462163 33.453770000000006,-112.0462163 33.458510000000004,-112.0290263 33.458510000000004,-112.0290263 33.453770000000006,-112.0462163 33.453770000000006))",POINT (-112.03917068431375 33.456256511764714),18,2595.7142427290755,1627.3581387701252
16,D1,-112.10299957572815,33.45113841650485,"POLYGON ((-112.1149763 33.44903000000001,-112.1149763 33.453770000000006,-112.0977863 33.453770000000006,-112.0977863 33.44903000000001,-112.1149763 33.44903000000001))",POINT (-112.10299957572815 33.45113841650485),77,1164.8791547294331,3165.1529209217792
17,D2,-112.09009625391701,33.451213529953904,"POLYGON ((-112.0977863 33.44903000000001,-112.0977863 33.453770000000006,-112.0805963 33.453770000000006,-112.0805963 33.44903000000001,-112.0977863 33.44903000000001))",POINT (-112.09009625391701 33.451213529953904),185,2747.2464980273057,7290.725929321852
18,D3,-112.07168945719698,33.451068492424234,"POLYGON ((-112.0805963 33.44903000000001,-112.0805963 33.453770000000006,-112.0634063 33.453770000000006,-112.0634063 33.44903000000001,-112.0805963 33.44903000000001))",POINT (-112.07168945719698 33.451068492424234),228,12341.923570249935,12913.90424943447
19,D4,-112.05651710476195,33.45113705523811,"POLYGON ((-112.0634063 33.44903000000001,-112.0634063 33.453770000000006,-112.0462163 33.453770000000006,-112.0462163 33.44903000000001,-112.0634063 33.44903000000001))",POINT (-112.05651710476195 33.45113705523811),61,3482.739647966631,2505.4423296113546
20,D5,-112.03612307894733,33.45124953859648,"POLYGON ((-112.0462163 33.44903000000001,-112.0462163 33.453770000000006,-112.0290263 33.453770000000006,-112.0290263 33.44903000000001,-112.0462163 33.44903000000001))",POINT (-112.03612307894733 33.45124953859648),36,1195.9530784793594,1421.1879035993595
21,E1,-112.10887249271839,33.44686453203884,"POLYGON ((-112.1149763 33.44429000000001,-112.1149763 33.44903000000001,-112.0977863 33.44903000000001,-112.0977863 33.44429000000001,-112.1149763 33.44429000000001))",POINT (-112.10887249271839 33.44686453203884),175,1941.8424909385344,4303.909304460887
22,E2,-112.08854913636367,33.447038522727254,"POLYGON ((-112.0977863 33.44429000000001,-112.0977863 33.44903000000001,-112.0805963 33.44903000000001,-112.0805963 33.44429000000001,-112.0977863 33.44429000000001))",POINT (-112.08854913636367 33.447038522727254),123,4831.329719594074,7302.869484531273
23,E3,-112.07434685589745,33.44702280974357,"POLYGON ((-112.0805963 33.44429000000001,-112.0805963 33.44903000000001,-112.0634063 33.44903000000001,-112.0634063 33.44429000000001,-112.0805963 33.44429000000001))",POINT (-112.07434685589745 33.44702280974357),156,6048.323439579545,12603.867446046412
24,E4,-112.05457398601038,33.44724948290157,"POLYGON ((-112.0634063 33.44429000000001,-112.0634063 33.44903000000001,-112.0462163 33.44903000000001,-112.0462163 33.44429000000001,-112.0634063 33.44429000000001))",POINT (-112.05457398601038 33.44724948290157),162,2887.4720835075177,5809.636498994483
25,E5,-112.0381371555556,33.446980292592585,"POLYGON ((-112.0462163 33.44429000000001,-112.0462163 33.44903000000001,-112.0290263 33.44903000000001,-112.0290263 33.44429000000001,-112.0462163 33.44429000000001))",POINT (-112.0381371555556 33.446980292592585),75,1951.3511744476816,2066.879277546767
26,Gate1,-112.1235713,33.44666,,POINT (-112.1235713 33.44666),0,0.0,0.0
27,Gate2,-112.1235713,33.4514,,POINT (-112.1235713 33.4514),0,10000.0,10000.0
28,Gate3,-112.1235713,33.456140000000005,,POINT (-112.1235713 33.456140000000005),0,0.0,0.0
29,Gate4,-112.1235713,33.46088,,POINT (-112.1235713 33.46088),0,6000.0,6000.0
30,Gate5,-112.1235713,33.46562,,POINT (-112.1235713 33.46562),0,0.0,0.0
