name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
,0,63078546.0,motorway_junction,,0.0,,motorway,0.0,-83.869736,40.890211,,,,,0.0,0.0,
,1,63078605.0,,,0.0,,secondary,0.0,-83.86509699999999,40.892531,,,,,0.0,0.0,
,2,63078637.0,,,0.0,,motorway,0.0,-83.862981,40.895497,,,,,0.0,0.0,
,3,63080766.0,,,0.0,,motorway,0.0,-83.871627,40.889015,,,,,0.0,0.0,
,4,63080807.0,,,0.0,,secondary,0.0,-83.869062,40.89247,,,,,0.0,0.0,
,5,63080875.0,motorway_junction,,0.0,,motorway,0.0,-83.863987,40.895019,,,,,0.0,0.0,
,6,63087069.0,,,0.0,,residential,0.0,-83.87889720000001,40.9002463,,,,5,10.0,10.0,residential
,7,63087071.0,turning_circle,,0.0,,residential,0.0,-83.8791553,40.9004755,,,,5,10.0,10.0,residential
,8,63094822.0,,,0.0,,residential,0.0,-83.867326,40.891047,,,,5,10.0,10.0,residential
,9,63094823.0,,,0.0,,residential,0.0,-83.8662879,40.890037,,,,5,10.0,10.0,residential
,10,63098270.0,,,0.0,,residential,0.0,-83.879098,40.8996771,,,,5,10.0,10.0,residential
,11,63098287.0,,,0.0,,residential,0.0,-83.8782902,40.900465600000004,,,,5,10.0,10.0,residential
,12,63098293.0,,,0.0,,residential,0.0,-83.8778828,40.900592100000004,,,,5,10.0,10.0,residential
,13,63102540.0,,,0.0,,secondary,0.0,-83.8629421,40.892568700000005,,,,,0.0,0.0,
,14,63102543.0,,,0.0,,secondary,0.0,-83.8619564,40.8925784,,,,,0.0,0.0,
,15,63102556.0,,,0.0,,secondary,0.0,-83.857423,40.892520000000005,,,,,0.0,0.0,
,16,63107475.0,,,0.0,,residential,0.0,-83.86290240000001,40.8911111,,,,5,10.0,10.0,residential
,17,63107493.0,,,0.0,,residential,0.0,-83.8726148,40.8876188,,,,5,10.0,10.0,residential
,18,63108465.0,,,0.0,,tertiary,0.0,-83.8801691,40.83249,,,,,0.0,0.0,
,19,63108490.0,,,0.0,,tertiary,0.0,-83.8802055,40.8479776,,,,,0.0,0.0,
,20,63108492.0,,,0.0,,tertiary,0.0,-83.8802072,40.848842499999996,,,,,0.0,0.0,
,21,63108508.0,,,0.0,,tertiary,0.0,-83.8802568,40.8634816,,,,,0.0,0.0,
,22,63108531.0,,,0.0,,tertiary,0.0,-83.88028759999999,40.8750409,,,,,0.0,0.0,
,23,63108532.0,,,0.0,,tertiary,0.0,-83.88028879999999,40.8752223,,,,,0.0,0.0,
,24,63108579.0,,,0.0,,residential,0.0,-83.88031090000001,40.887432399999994,,,,5,10.0,10.0,residential
,25,63108591.0,,,0.0,,tertiary,0.0,-83.88030520000001,40.8890755,,,,,0.0,0.0,
,26,63108598.0,,,0.0,,tertiary,0.0,-83.88032609999999,40.891359200000004,,,,,0.0,0.0,
,27,63108602.0,traffic_signals,,1.0,,secondary,0.0,-83.880336,40.892430100000006,,,,,0.0,0.0,
,28,63108616.0,,,0.0,,tertiary,0.0,-83.8803686,40.896255100000005,,,,,0.0,0.0,
,29,63108633.0,,,0.0,,tertiary,0.0,-83.8803896,40.9019684,,,,,0.0,0.0,
,30,63108669.0,,,0.0,,tertiary,0.0,-83.880424,40.9217749,,,,,0.0,0.0,
,31,63115176.0,,,0.0,,tertiary,0.0,-83.8620865,40.863465500000004,,,,,0.0,0.0,
,32,63115409.0,,,0.0,,tertiary,0.0,-83.8619843,40.8780108,,,,,0.0,0.0,
,33,63117370.0,,,0.0,,unclassified,0.0,-83.862089,40.834383,,,,,0.0,0.0,
,34,63117407.0,,,0.0,,residential,1.0,-83.858554,40.899832,,,,36,1000.0,1000.0,boundary
,35,63117413.0,,,0.0,,residential,0.0,-83.86197709999999,40.8998671,,,,5,10.0,10.0,residential
,36,63120120.0,,,0.0,,residential,0.0,-83.87732,40.8886494,,,,5,10.0,10.0,residential
,37,63120130.0,,,0.0,,residential,0.0,-83.8771531,40.888231899999994,,,,5,10.0,10.0,residential
,38,63120141.0,,,0.0,,residential,0.0,-83.87728680000001,40.8877089,,,,5,10.0,10.0,residential
,39,63122724.0,turning_circle,,0.0,,residential,0.0,-83.87810340000001,40.9001278,,,,5,10.0,10.0,residential
,40,63125409.0,,,0.0,,motorway,0.0,-83.88029909999999,40.88475579999999,,,,,0.0,0.0,
,41,63125461.0,,,0.0,,motorway,0.0,-83.86278359999999,40.89597,,,,,0.0,0.0,
,42,63128130.0,,,0.0,,tertiary,0.0,-83.8619056,40.9118808,,,,,0.0,0.0,
,43,63130843.0,,,0.0,,unclassified,0.0,-83.86206700000001,40.827659999999995,,,,,0.0,0.0,
,44,63130903.0,,,0.0,,unclassified,0.0,-83.86206800000001,40.827426,,,,,0.0,0.0,
,45,63133247.0,,,0.0,,residential,0.0,-83.8790584,40.88723220000001,,,,5,10.0,10.0,residential
,46,63134148.0,,,0.0,,residential,0.0,-83.862085,40.848929,,,,10,10.0,10.0,residential
,47,63135746.0,,,0.0,,secondary,0.0,-83.8718317,40.8924501,,,,,0.0,0.0,
,48,63137204.0,,,0.0,,unclassified,0.0,-83.8764202,40.8924295,,,,,0.0,0.0,
,49,63141443.0,,,0.0,,unclassified,0.0,-83.86212320000001,40.921831,,,,,0.0,0.0,
,50,63149295.0,,,0.0,,unclassified,0.0,-83.875384,40.887930700000005,,,,,0.0,0.0,
,51,63227469.0,,,0.0,,residential,0.0,-84.09595999999999,40.919187,,,,3,10.0,10.0,residential
,52,63228190.0,traffic_signals,,1.0,,secondary,0.0,-84.0573558,40.9194508,,,,,0.0,0.0,
,53,63228200.0,,,0.0,,secondary,0.0,-84.056485,40.919985,,,,,0.0,0.0,
,54,63228202.0,,,0.0,,secondary,0.0,-84.055678,40.920456,,,,,0.0,0.0,
,55,63228203.0,,,0.0,,secondary,0.0,-84.053828,40.92154,,,,,0.0,0.0,
,56,63228234.0,,,0.0,,secondary,0.0,-84.049091,40.923462,,,,,0.0,0.0,
,57,63228249.0,,,0.0,,residential,0.0,-84.249227,40.918314,,,,2,10.0,10.0,residential
,58,63228290.0,,,0.0,,residential,1.0,-84.250118,40.914396999999994,,,,32,1000.0,1000.0,boundary
,59,63228392.0,,,0.0,,secondary,0.0,-84.146327,40.881585,,,,,0.0,0.0,
,60,63228394.0,,,0.0,,residential,1.0,-84.14631999999999,40.882884000000004,,,,33,1000.0,1000.0,boundary
,61,63228396.0,,,0.0,,residential,1.0,-84.061512,40.913705,,,,34,1000.0,1000.0,boundary
,62,63228404.0,,,0.0,,residential,0.0,-84.062925,40.91435,,,,4,10.0,10.0,residential
,63,63228571.0,,,0.0,,residential,1.0,-84.06366,40.920149,,,,34,1000.0,1000.0,boundary
,64,63228582.0,,,0.0,,residential,0.0,-84.062567,40.920332,,,,4,10.0,10.0,residential
,65,63228598.0,,,0.0,,residential,0.0,-84.060783,40.920215999999996,,,,4,10.0,10.0,residential
