name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
,17,12146535,1719,2584,,21.152675403148127,,,,trunk,2,"LINESTRING (-79.5436375 33.0574702, -79.5434903 33.0573254)",auto
,18,12146964,1106,0,,390.4892484903488,,,,motorway,1,"LINESTRING (-79.8505724 32.8137719, -79.8501189 32.8138219, -79.8497863 32.8139211, -79.8493029 32.8140695, -79.8492117 32.814083, -79.8491259 32.814083, -79.8490186 32.8140695, -79.8489354 32.8140447, -79.8488576 32.8140086, -79.8487879 32.8139613, -79.8487182 32.8138982, -79.8486645 32.813835, -79.8486109 32.8137539, -79.8485867 32.813702, -79.848568 32.8136479, -79.8485572 32.8135781, -79.8485572 32.8135014, -79.848568 32.8134203, -79.8485894 32.8133684, -79.8486136 32.8133233, -79.8486484 32.8132873, -79.8486806 32.8132602, -79.8487235 32.8132354, -79.8488094 32.8131948, -79.8488657 32.8131768, -79.8489274 32.8131655, -79.8489917 32.813161, -79.8490508 32.813161, -79.8491044 32.81317, -79.84915 32.8131791, -79.849201 32.8131948, -79.8492519 32.8132196, -79.8492975 32.8132444, -79.8493324 32.8132737, -79.8493619 32.813303, -79.849386 32.8133369, -79.8494102 32.8133797, -79.849437 32.813436, -79.8494585 32.8135014, -79.8494745 32.8135713, -79.8494799 32.8136322, -79.8495014 32.81379)",auto
Gold Lane,19,12147497,39,1698,,21.795187113995823,,,,trunk,2,"LINESTRING (-79.7381598 32.8929525, -79.7379798 32.8928277)",auto
Chuck Dawley Boulevard,20,12148097,43,44,,1077.8463510250524,,45,,trunk,2,"LINESTRING (-79.8510839 32.8077033, -79.851296 32.8073033, -79.8516131 32.8067023, -79.8516577 32.8066225, -79.8520262 32.8059629, -79.8523624 32.8054256, -79.8525039 32.8051994, -79.8525734 32.8050882, -79.8529167 32.8045967, -79.8531363 32.8043466, -79.8535698 32.8038528, -79.8536797 32.8037285, -79.8541719 32.8031719, -79.8544818 32.8028008, -79.854758 32.8024701, -79.8549552 32.802234, -79.8552509 32.8018903, -79.8558489 32.8011954, -79.8560943 32.8009102, -79.8561947 32.8007995, -79.8566418 32.8003152, -79.8568488 32.8000651, -79.8572994 32.7995826)",auto
,21,12148409,46,1714,,21.48078408553782,,,,trunk,2,"LINESTRING (-79.5605071 33.0490891, -79.5606181 33.0492584)",auto
,22,12148912,47,2585,,20.093182768026956,,,,trunk,2,"LINESTRING (-79.5963603 33.0389375, -79.5963946 33.0391159)",auto
,23,12149755,36,39,,438.53457971100465,,,,trunk,2,"LINESTRING (-79.7351938 32.8960103, -79.7353356 32.8958675, -79.7362667 32.894882, -79.7374007 32.8937304, -79.7381598 32.8929525)",auto
,24,12149755,39,49,,422.50886593416425,,,,trunk,2,"LINESTRING (-79.7381598 32.8929525, -79.7391674 32.8919334, -79.7398915 32.8911912, -79.7410354 32.8900187)",auto
,25,12149755,49,2568,,722.3123972536964,,,,trunk,2,"LINESTRING (-79.7410354 32.8900187, -79.741511 32.8895643, -79.7419406 32.8891745, -79.7424253 32.888765, -79.7429688 32.8883385, -79.7433869 32.8880279, -79.7440798 32.8875494, -79.7441072 32.887533, -79.7453089 32.8868149, -79.7468631 32.8859174, -79.7469466 32.8858694)",auto
Thames Road,26,12150384,1711,54,,21.083240630406802,,,,trunk,2,"LINESTRING (-79.6264361 33.0289674, -79.6266111 33.0290875)",auto
Theodore Road,27,12151075,49,1697,,21.960035073309825,,,,trunk,2,"LINESTRING (-79.7410354 32.8900187, -79.7408643 32.8898832)",auto
Rivers Avenue,28,12154258,1080,65,,376.0167770236562,,,,trunk,2,"LINESTRING (-80.0425689 32.9545215, -80.0425142 32.95414, -80.0423986 32.9531155, -80.0423809 32.9525238, -80.0424274 32.9519785, -80.0424961 32.9514599, -80.0425733 32.9511589)",auto
