name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
,0,12200848,1,53,,275.6150736241385,,,,motorway,1,"LINESTRING (-158.0921094 21.3326452, -158.091518 21.3323328, -158.0911851 21.3321846, -158.0909581 21.3321003, -158.0906842 21.3320144, -158.090491 21.3319452, -158.0903067 21.3318667, -158.0901419 21.3317877, -158.0899489 21.3316837, -158.0897339 21.3315462)",auto
Fort Barrette Road,1,12202900,37,5,,488.21670550279464,,,,secondary,4,"LINESTRING (-158.0717289 21.329558, -158.0722706 21.3305044, -158.0726568 21.331214, -158.0729507 21.3317201, -158.0731274 21.3326607, -158.0731381 21.3327981, -158.0731328 21.332958, -158.0730271 21.3336455)",auto
Fort Barrette Road,2,12202900,5,37,,488.21670550279464,,,,secondary,4,"LINESTRING (-158.0730271 21.3336455, -158.0731328 21.332958, -158.0731381 21.3327981, -158.0731274 21.3326607, -158.0729507 21.3317201, -158.0726568 21.331214, -158.0722706 21.3305044, -158.0717289 21.329558)",auto
Franklin Delano Roosevelt Avenue,3,12205652,74,69,,14.185882673833898,,,,secondary,4,"LINESTRING (-158.0867878 21.3252531, -158.0866567 21.3252162)",auto
Franklin Delano Roosevelt Avenue,4,12205652,69,74,,14.185882673833898,,,,secondary,4,"LINESTRING (-158.0866567 21.3252162, -158.0867878 21.3252531)",auto
Franklin Delano Roosevelt Avenue,5,12205652,69,10,,2017.3690933549738,,,,secondary,4,"LINESTRING (-158.0866567 21.3252162, -158.0850779 21.3247932, -158.0824531 21.3241239, -158.0805744 21.3236409, -158.0792744 21.3233062, -158.0785702 21.3231739, -158.0780386 21.3230548, -158.0778177 21.322996, -158.0774083 21.3229235, -158.0769595 21.3228663, -158.0764333 21.3228157, -158.0759842 21.3227816, -158.0753171 21.3227871, -158.0746535 21.3228323, -158.073952 21.3229115, -158.0733197 21.3230237, -158.0716107 21.3234811, -158.069236 21.3242706, -158.0686527 21.3244558, -158.0681572 21.3246124, -158.0678237 21.3247053)",auto
Franklin Delano Roosevelt Avenue,6,12205652,10,69,,2017.369093354973,,,,secondary,4,"LINESTRING (-158.0678237 21.3247053, -158.0681572 21.3246124, -158.0686527 21.3244558, -158.069236 21.3242706, -158.0716107 21.3234811, -158.0733197 21.3230237, -158.073952 21.3229115, -158.0746535 21.3228323, -158.0753171 21.3227871, -158.0759842 21.3227816, -158.0764333 21.3228157, -158.0769595 21.3228663, -158.0774083 21.3229235, -158.0778177 21.322996, -158.0780386 21.3230548, -158.0785702 21.3231739, -158.0792744 21.3233062, -158.0805744 21.3236409, -158.0824531 21.3241239, -158.0850779 21.3247932, -158.0866567 21.3252162)",auto
Kapolei Parkway,7,12206162,81,117,,172.03774130365895,,,,secondary,4,"LINESTRING (-158.0788512 21.328632, -158.0805067 21.328507)",auto
Kapolei Parkway,8,12206162,117,131,,27.74741318169147,,,,secondary,4,"LINESTRING (-158.0805067 21.328507, -158.0807738 21.3284879)",auto
Kapolei Parkway,9,12206162,131,115,,14.731263565779837,,,,secondary,4,"LINESTRING (-158.0807738 21.3284879, -158.0809156 21.3284777)",auto
