segment_id,link_id,ref_node_id,start_lr,end_lr,capacity,free_speed,bike_facility,ped_facility,parking,allowed_uses,l_lanes_added,r_lanes_added
0,4785,,288.5667281776941,307.814786091683,,,,,,,1,
1,4785,,307.814786091683,344.3927158926629,,,,,,,2,
2,4786,,290.34042935748755,344.3927158926629,,,,,,,1,
3,5269,,93.28919995700211,122.10711197798801,,,,,,,1,
4,5270,,71.71148885448434,122.10711197798801,,,,,,,1,
5,5271,,362.7481391855488,458.1762686852337,,,,,,,2,
6,5272,,413.14712151431917,458.17626868523377,,,,,,,1,
