name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses
APD Highway,0,9104347,56,312,,166.9719330059891,,65,,trunk,2,"LINESTRING (-84.3946118 34.3826359, -84.3944334 34.3823847, -84.3942738 34.3821312, -84.394133 34.3818656, -84.3940138 34.3816003, -84.3939332 34.3813831, -84.3938902 34.3812635)",auto
,1,9112052,56,57,,178.6086965006495,,,,trunk,2,"LINESTRING (-84.3946118 34.3826359, -84.3944817 34.3825418, -84.3943659 34.3824299, -84.394275 34.3823276, -84.394189 34.3822198, -84.394108 34.382112, -84.3940435 34.3819919, -84.3939774 34.3818582, -84.3938848 34.3816535, -84.3938121 34.3814734, -84.3937889 34.3814297, -84.3937542 34.3813942, -84.393693 34.3813465, -84.3936028 34.3813021)",auto
,2,9112068,1,547,,30.91770309099764,,,,trunk,2,"LINESTRING (-84.3723891 34.3700091, -84.3724585 34.3700489, -84.3725372 34.370083, -84.372609 34.370106, -84.3726923 34.3701251)",auto
,3,9213258,123,268,,20.786144750804727,,,,primary,3,"LINESTRING (-84.1345035 34.8829191, -84.1344487 34.8830115, -84.1343976 34.8830845)",auto
,4,9214022,122,124,,20.49424295199109,,,,primary,3,"LINESTRING (-84.1145586 34.8771799, -84.1145479 34.8769958)",auto
Fowler Street,5,9246114,477,26,,34.11226645789503,,,,trunk,2,"LINESTRING (-84.4743152 34.6840398, -84.4743795 34.6840122, -84.4744251 34.683999, -84.474468 34.6839891, -84.474515 34.6839846, -84.4745565 34.6839868, -84.4745887 34.6839913, -84.4746746 34.6839868)",auto
Young Harris Highway,6,9495080,46,215,,104.71365794050408,,45,,trunk,2,"LINESTRING (-83.9648048 34.8723313, -83.9646921 34.8726768, -83.9646712 34.8727423, -83.9645634 34.8730795, -83.9645001 34.873239)",auto
Young Harris Highway,7,9495080,215,162,,604.6944549872487,,45,,trunk,2,"LINESTRING (-83.9645001 34.873239, -83.9644534 34.8733568, -83.9643655 34.8735338, -83.9643059 34.8736538, -83.9640564 34.8740609, -83.9639405 34.8742195, -83.9637426 34.87449, -83.9635883 34.8746672, -83.9634158 34.8748497, -83.9632695 34.8749858, -83.9630938 34.8751403, -83.9630232 34.8752038, -83.9629035 34.8753117, -83.962612 34.875578, -83.9620657 34.8760404, -83.9608656 34.8770561, -83.9605168 34.8773513, -83.9604009 34.8774494)",auto
Young Harris Highway,8,9495080,162,163,,53.65523855123193,,45,,trunk,2,"LINESTRING (-83.9604009 34.8774494, -83.9600969 34.8777067, -83.9599936 34.8777975)",auto
Main Street,9,9495148,34,33,,511.21821548993375,,45,,trunk,2,"LINESTRING (-83.8513723 34.9259234, -83.851061 34.92641, -83.85042 34.927595, -83.850364 34.927702, -83.849736 34.929013, -83.8493677 34.9297799, -83.8491878 34.9301545)",auto
,10,9500837,37,158,,18.263477292920832,,,,primary,3,"LINESTRING (-83.9769178 34.8689331, -83.9769178 34.8688627, -83.9769261 34.8687691)",auto
,11,9500897,38,150,,19.317626167122178,,,,primary,3,"LINESTRING (-84.0712979 34.8688289, -84.0713387 34.8687525, -84.0713821 34.8686695)",auto
APD Highway,12,28690626,17,99,,338.6712928623969,,55,,trunk,2,"LINESTRING (-84.3395494 34.8381401, -84.339992 34.8378173, -84.3404522 34.8374218, -84.3411919 34.8368037, -84.3421579 34.8359756)",auto
,13,28690640,67,827,,10.192263357492031,,,,primary,3,"LINESTRING (-84.5188167 34.5177741, -84.5189275 34.5177823)",auto
,14,28690640,827,67,,10.192263357492031,,,,primary,3,"LINESTRING (-84.5189275 34.5177823, -84.5188167 34.5177741)",auto
,15,28690640,827,58,,9.050797924341158,,,,primary,3,"LINESTRING (-84.5189275 34.5177823, -84.5190259 34.5177895)",auto
,16,28690640,58,827,,9.050797924341158,,,,primary,3,"LINESTRING (-84.5190259 34.5177895, -84.5189275 34.5177823)",auto
,17,28690640,58,343,,44.35476715299743,,,,primary,3,"LINESTRING (-84.5190259 34.5177895, -84.519113 34.5177939, -84.5195091 34.5178141)",auto
,18,28690640,343,58,,44.35476715299743,,,,primary,3,"LINESTRING (-84.5195091 34.5178141, -84.519113 34.5177939, -84.5190259 34.5177895)",auto
,19,28701743,133,95,,112.42599196673413,,,,trunk,2,"LINESTRING (-84.5164349 34.6214478, -84.5165328 34.6213946, -84.5165848 34.6213729, -84.5166406 34.6213547, -84.5167059 34.6213343, -84.5167771 34.6213154, -84.5174288 34.6211743, -84.5175938 34.6211277)",auto
,20,28701746,94,95,,51.72974321916639,,,,trunk,2,"LINESTRING (-84.5181391 34.621005, -84.518066 34.621021, -84.5175938 34.6211277)",auto
,21,28701746,95,94,,51.72974321916639,,,,trunk,2,"LINESTRING (-84.5175938 34.6211277, -84.518066 34.621021, -84.5181391 34.621005)",auto
,22,28701746,95,78,,75.87702300010946,,,,trunk,2,"LINESTRING (-84.5175938 34.6211277, -84.5175012 34.6211213, -84.5174194 34.6211081, -84.5173389 34.6210882, -84.5172535 34.6210547, -84.5169662 34.6209086, -84.5168466 34.6208544)",auto
,23,28701746,78,95,,75.87702300010945,,,,trunk,2,"LINESTRING (-84.5168466 34.6208544, -84.5169662 34.6209086, -84.5172535 34.6210547, -84.5173389 34.6210882, -84.5174194 34.6211081, -84.5175012 34.6211213, -84.5175938 34.6211277)",auto
,24,28701746,78,721,,8.068805975159252,,,,trunk,2,"LINESTRING (-84.5168466 34.6208544, -84.5167687 34.6208204)",auto
,25,28701746,721,78,,8.068805975159252,,,,trunk,2,"LINESTRING (-84.5167687 34.6208204, -84.5168466 34.6208544)",auto
,26,28701746,721,720,,1.462865817612735,,,,trunk,2,"LINESTRING (-84.5167687 34.6208204, -84.5167546 34.6208142)",auto
,27,28701746,720,721,,1.462865817612735,,,,trunk,2,"LINESTRING (-84.5167546 34.6208142, -84.5167687 34.6208204)",auto
,28,28701746,720,87,,9.26705127456573,,,,trunk,2,"LINESTRING (-84.5167546 34.6208142, -84.5166651 34.6207752)",auto
,29,28701746,87,720,,9.26705127456573,,,,trunk,2,"LINESTRING (-84.5166651 34.6207752, -84.5167546 34.6208142)",auto
,30,49336642,2,549,,707.2202617370385,,,,trunk,2,"LINESTRING (-84.3785481 34.3717135, -84.377644 34.370959, -84.376735 34.370197, -84.376517 34.36997, -84.376248 34.36969, -84.375937 34.369199, -84.37567 34.368619, -84.375261 34.367776, -84.37503 34.367343, -84.374676 34.36693, -84.3742139 34.3665752)",auto
HIGHWAY 372,31,49336643,3,185,,1879.4657010632643,,55,,trunk,2,"LINESTRING (-84.3784086 34.3720057, -84.3807904 34.3737325, -84.3843846 34.3764245, -84.3878071 34.3789393, -84.3893949 34.3801188, -84.3901685 34.3806947, -84.3909763 34.381262, -84.3915353 34.3816431, -84.3921132 34.3820192, -84.3932805 34.3827322, -84.393865 34.3830813)",auto
APD Highway,32,49337325,805,191,,123.13600262790209,,65,,trunk,2,"LINESTRING (-84.5174076 34.5093966, -84.5171317 34.5089091, -84.5169349 34.508583, -84.5168081 34.5084063)",auto
APD Highway,33,49337343,374,669,,112.12639436476498,,55,,trunk,2,"LINESTRING (-84.4223801 34.4071739, -84.4231471 34.407959)",auto
APD Highway,34,49337344,55,368,,41.945812948403976,,55,,trunk,2,"LINESTRING (-84.4222089 34.4066275, -84.4219149 34.4063386)",auto
APD Highway,35,49337695,120,479,,24.392313042084236,,45,,trunk,2,"LINESTRING (-84.4734086 34.6851117, -84.4735775 34.6849419)",auto
APD Highway,36,49337937,791,330,,28.74476522445381,,55,,trunk,2,"LINESTRING (-84.3370506 34.8525705, -84.3370597 34.8528289)",auto
APD Highway,37,49337937,330,791,,28.74476522445381,,55,,trunk,2,"LINESTRING (-84.3370597 34.8528289, -84.3370506 34.8525705)",auto
,38,49337941,134,508,,143.7518011080337,,,,primary,3,"LINESTRING (-84.3857358 34.7872246, -84.3858573 34.7873189, -84.3860397 34.7874659, -84.3861577 34.7875763, -84.386252 34.7876739, -84.3863356 34.7877835, -84.3864107 34.787898, -84.3865126 34.7880578, -84.3865703 34.7881315, -84.3866333 34.7881965, -84.386687 34.7882424)",auto
,39,49337941,508,134,,143.75180110803367,,,,primary,3,"LINESTRING (-84.386687 34.7882424, -84.3866333 34.7881965, -84.3865703 34.7881315, -84.3865126 34.7880578, -84.3864107 34.787898, -84.3863356 34.7877835, -84.386252 34.7876739, -84.3861577 34.7875763, -84.3860397 34.7874659, -84.3858573 34.7873189, -84.3857358 34.7872246)",auto
,40,49337941,508,297,,23.416889888249077,,,,primary,3,"LINESTRING (-84.386687 34.7882424, -84.3867581 34.7882879, -84.3868288 34.7883262, -84.3869012 34.7883571)",auto
,41,49337941,297,508,,23.416889888249077,,,,primary,3,"LINESTRING (-84.3869012 34.7883571, -84.3868288 34.7883262, -84.3867581 34.7882879, -84.386687 34.7882424)",auto
,42,159261682,10,18,,67.50517921525396,,,,trunk,2,"LINESTRING (-84.3236622 34.8726874, -84.3235369 34.872662, -84.3234681 34.8726444, -84.3233941 34.8726193, -84.323336 34.8725902, -84.3232802 34.8725511, -84.323234 34.8725039, -84.3231975 34.8724439, -84.323147 34.8723178)",auto
APD Highway,43,161321722,45,221,,147.5569180439312,,55,,trunk,2,"LINESTRING (-83.968371 34.8704548, -83.9685901 34.8704701, -83.9699549 34.8702234)",auto
APD Highway,44,161321722,221,181,,154.24096351907963,,55,,trunk,2,"LINESTRING (-83.9699549 34.8702234, -83.9701 34.8701972, -83.971606 34.869925)",auto
APD Highway,45,161321722,181,182,,64.65456351593674,,55,,trunk,2,"LINESTRING (-83.971606 34.869925, -83.9722981 34.8697999)",auto
APD Highway,46,161321722,182,183,,147.25691065685706,,55,,trunk,2,"LINESTRING (-83.9722981 34.8697999, -83.9728146 34.8697065, -83.9738744 34.8695149)",auto
