,name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes
57,,57,41190746,traffic_signals,,1,,,,-111.9091331,33.4001487,,,
74,,74,41190824,traffic_signals,,1,,,,-111.9397027,33.4001158,,,
80,,80,41190841,traffic_signals,,1,,,,-111.9263125,33.4002314,,,
253,,254,41198112,traffic_signals,,1,,,,-111.7195362,33.3871324,,,
312,,313,41203110,traffic_signals,,1,,,,-111.9686435,33.3783363,,,
341,,342,41208930,traffic_signals,,1,,,,-111.61879,33.3715761,,,
351,,354,41210304,traffic_signals,,1,,,,-111.8912186,33.755814,,,
408,,412,41216716,traffic_signals,,1,,,,-111.9781803,33.4093402,,,
409,,413,41216719,traffic_signals,,1,,,,-111.9783021,33.4073175,,,
411,,415,41216724,traffic_signals,,1,,,,-111.9730316,33.3052354,,,
464,,469,41222556,traffic_signals,,1,,,,-111.939382,33.3782279,,,
507,,512,41229275,traffic_signals,,1,,,,-111.9955693,33.4431143,,,
510,,515,41229333,traffic_signals,,1,,,,-112.1087768,33.4491509,,,
532,,537,41231156,traffic_signals,,1,,,,-111.7185675,33.4840201,,,
543,,548,41231480,traffic_signals,,1,,,,-111.9712997,33.3054405,,,
545,,550,41231518,traffic_signals,,1,,,,-111.9735017,33.3199939,,,
654,,661,41242966,traffic_signals,,1,,,,-111.9713157,33.3200022,,,
847,,856,41257868,traffic_signals,,1,,,,-112.119469,33.7257496,,,
881,,892,41260762,traffic_signals,,1,,,,-111.9175574,33.21923,,,
891,,902,41262555,traffic_signals,,1,,,,-112.1028531,33.567585,,,
927,,939,41267591,traffic_signals,,1,,,,-111.9727751,33.34918,,,
1010,,1023,41278527,traffic_signals,,1,,,,-111.7367791,33.3872757,,,
1085,,1098,41286594,traffic_signals,,1,,,,-111.9228,33.2192409,,,
1123,,1136,41291539,traffic_signals,,1,,,,-111.7882188,33.3868387,,,
1190,,1206,41299689,traffic_signals,,1,,,,-111.8230821,33.3866498,,,
1241,,1257,41305352,traffic_signals,,1,,,,-111.8562905,33.4459103,,,
1243,,1259,41305361,traffic_signals,,1,,,,-111.8562426,33.4449867,,,
1450,,1471,41327042,traffic_signals,,1,,,,-112.3505089,33.6236517,,,
1485,,1506,41329910,traffic_signals,,1,,,,-111.9263808,33.3850384,,,
1575,,1598,41337413,traffic_signals,,1,,,,-111.9608878,33.3880557,,,
1611,,1635,41342675,traffic_signals,,1,,,,-112.0994842,33.5422512,,,
1620,,1644,41344133,traffic_signals,,1,,,,-111.8010029,33.4224613,,,
1753,,1778,41359336,traffic_signals,,1,,,,-111.9709811,33.3491889,,,
1773,,1798,41360358,traffic_signals,,1,,,,-111.8745401,33.3852841,,,
1849,,1874,41368788,traffic_signals,,1,,,,-112.1468783,33.8710265,,,
1863,,1888,41370230,traffic_signals,,1,,,,-111.8402366,33.3854987,,,
1865,,1890,41370246,traffic_signals,,1,,,,-111.822798,33.3855381,,,
1866,,1891,41370258,traffic_signals,,1,,,,-111.7882197,33.3857309,,,
1942,,1968,41376783,traffic_signals,,1,,,,-112.1454417,33.870892,,,
2060,,2088,41387545,traffic_signals,,1,,,,-111.7192909,33.385982,,,
2078,,2106,41388116,traffic_signals,,1,,,,-111.6173555,33.2486205,,,
2080,,2108,41388151,traffic_signals,,1,,,,-111.8572466,33.3864042,,,
2232,,2260,41401863,traffic_signals,,1,,,,-111.8054294,33.3856006,,,
2274,,2303,41410049,traffic_signals,,1,,,,-111.6849794,33.3871831,,,
2393,,2422,41420226,traffic_signals,,1,,,,-111.9616034,33.2881304,,,
2495,,2526,41431640,traffic_signals,,1,,,,-111.684994,33.3860705,,,
2500,,2531,41431692,traffic_signals,,1,,,,-111.8402314,33.3866204,,,
2602,,2635,41440516,traffic_signals,,1,,,,-112.0477749,33.4615728,,,
2614,,2647,41441770,traffic_signals,,1,,,,-111.8744444,33.4094815,,,
2658,,2691,41445990,traffic_signals,,1,,,,-111.9698196,33.4551245,,,
2668,,2702,41446394,traffic_signals,,1,,,,-112.0999471,33.4610607,,,
2832,,2869,41464657,traffic_signals,,1,,,,-112.1162893,33.5963244,,,
2845,,2882,41465543,traffic_signals,,1,,,,-111.8572622,33.3852727,,,
2887,,2924,41470028,traffic_signals,,1,,,,-111.891249,33.7920531,,,
2953,,2990,41476027,traffic_signals,,1,,,,-111.8056799,33.3867117,,,
2968,,3005,41476783,traffic_signals,,1,,,,-111.9609373,33.4385328,,,
3087,,3128,41486198,traffic_signals,,1,,,,-111.7540148,33.3869883,,,
3231,,3273,41493623,traffic_signals,,1,,,,-111.9395244,33.3881944,,,
3359,,3401,41494603,traffic_signals,,1,,,,-111.9284545,33.3419233,,,
3438,,3480,41495132,traffic_signals,,1,,,,-111.6871386,33.332494,,,
3482,,3524,41495407,traffic_signals,,1,,,,-111.904832,33.3929619,,,
3602,,3644,41495961,traffic_signals,,1,,,,-111.8576852,33.3833697,,,
3867,,3909,41497336,traffic_signals,,1,,,,-112.1346224,33.6656459,,,
4214,,4257,41499535,traffic_signals,,1,,,,-112.1129898,33.4368039,,,
4367,,4411,41500425,traffic_signals,,1,,,,-111.7982965,33.3499056,,,
4515,,4560,41501304,traffic_signals,,1,,,,-111.653382,33.3647776,,,
4516,,4561,41501310,traffic_signals,,1,,,,-111.6604434,33.3648178,,,
4519,,4564,41501318,traffic_signals,,1,,,,-111.6707016,33.3648744,,,
4523,,4568,41501354,traffic_signals,,1,,,,-111.6962093,33.3649874,,,
4524,,4569,41501358,traffic_signals,,1,,,,-111.7000868,33.3649522,,,
4526,,4571,41501363,traffic_signals,,1,,,,-111.7047297,33.3649449,,,
4540,,4585,41501459,traffic_signals,,1,,,,-111.7733435,33.3645872,,,
4543,,4588,41501472,traffic_signals,,1,,,,-111.7820706,33.3645236,,,
4549,,4595,41501516,traffic_signals,,1,,,,-111.9631279,33.3637464,,,
4561,,4607,41501559,traffic_signals,,1,,,,-111.9285986,33.3637491,,,
4563,,4609,41501573,traffic_signals,,1,,,,-111.9199211,33.3637722,,,
4566,,4612,41501587,traffic_signals,,1,,,,-111.9112332,33.3637652,,,
4569,,4615,41501594,traffic_signals,,1,,,,-111.9026145,33.3638064,,,
5022,,5068,41504328,traffic_signals,,1,,,,-111.969514,33.6947032,,,
5089,,5136,41504653,traffic_signals,,1,,,,-112.0996443,33.6043648,,,
5171,,5218,41505133,traffic_signals,,1,,,,-112.2030415,33.5455531,,,
5198,,5245,41505276,traffic_signals,,1,,,,-112.1685933,33.5457549,,,
5202,,5249,41505292,traffic_signals,,1,,,,-112.1601323,33.5457293,,,
5208,,5255,41505318,traffic_signals,,1,,,,-112.1514479,33.5457051,,,
5221,,5268,41505342,traffic_signals,,1,,,,-112.1169623,33.5458536,,,
5226,,5273,41505360,traffic_signals,,1,,,,-112.0994985,33.545854,,,
5438,,5485,41506675,traffic_signals,,1,,,,-111.9672836,33.7992815,,,
5543,,5590,41507334,traffic_signals,,1,,,,-112.3938133,33.6096085,,,
5546,,5593,41507346,traffic_signals,,1,,,,-112.3939129,33.6241056,,,
5548,,5595,41507358,traffic_signals,,1,,,,-112.3939965,33.631375,,,
6958,,7006,41516432,traffic_signals,,1,,,,-111.9604002,33.6187841,,,
6997,,7046,41516613,traffic_signals,,1,,,,-111.9959742,33.619145,,,
7048,,7101,41517125,traffic_signals,,1,,,,-111.9253675,33.6695719,,,
7049,,7102,41517128,traffic_signals,,1,,,,-111.9254224,33.6769388,,,
7050,,7103,41517136,traffic_signals,,1,,,,-111.9253878,33.6842156,,,
7052,,7105,41517140,traffic_signals,,1,,,,-111.9253485,33.6914633,,,
7057,,7110,41517152,traffic_signals,,1,,,,-111.92533,33.7131292,,,
7058,,7111,41517160,traffic_signals,,1,,,,-111.9256185,33.7266975,,,
7063,,7116,41517175,traffic_signals,,1,,,,-111.9259491,33.7412293,,,
7070,,7123,41517198,traffic_signals,,1,,,,-111.9259192,33.7557195,,,
7078,,7131,41517224,traffic_signals,,1,,,,-111.9258952,33.7702539,,,
7096,,7159,41517397,traffic_signals,,1,,,,-111.9261267,33.4913175,,,
7097,,7160,41517399,traffic_signals,,1,,,,-111.9261209,33.4922219,,,
7098,,7161,41517402,traffic_signals,,1,,,,-111.9261164,33.4931323,,,
7099,,7162,41517405,traffic_signals,,1,,,,-111.926137,33.4940339,,,
7118,,7194,41517559,traffic_signals,,1,,,,-111.9258899,33.6039731,,,
7195,,7272,41517931,traffic_signals,,1,,,,-112.1265084,33.5760003,,,
7198,,7275,41517939,traffic_signals,,1,,,,-112.1254744,33.5820134,,,
7218,,7295,41518009,traffic_signals,,1,,,,-112.125281,33.6036223,,,
7222,,7299,41518021,traffic_signals,,1,,,,-112.1251703,33.6108195,,,
7264,,7341,41518187,traffic_signals,,1,,,,-112.1260608,33.6838144,,,
7280,,7357,41518267,traffic_signals,,1,,,,-112.1259004,33.6627992,,,
7338,,7416,41518559,traffic_signals,,1,,,,-112.1256154,33.5530865,,,
7343,,7421,41518575,traffic_signals,,1,,,,-112.1255825,33.5603264,,,
