segment_id,link_id,ref_node_id,start_lr,end_lr,capacity,free_speed,bike_facility,ped_facility,parking,allowed_uses,l_lanes_added,r_lanes_added
0,3581,,35.470798113951304,74.76930667822162,,,,,,,1,
1,3652,,31.631293818524288,58.97452462809568,,,,,,,-1,
2,3653,,27.343230809571388,58.97452462809568,,,,,,,-1,
3,3654,,22.544413323808115,48.597147458538736,,,,,,,-1,
4,3655,,26.05273413473062,48.597147458538736,,,,,,,-1,
5,3660,,22.298308895753685,41.63858256826451,,,,,,,-1,
6,3661,,19.340273672510822,41.63858256826451,,,,,,,-1,
7,3664,,40.036334526388224,60.21466961286898,,,,,,,-1,
8,3665,,20.178335086480757,60.21466961286898,,,,,,,-2,
9,3669,,58.66242799217115,126.31460844693922,,,,,,,-1,
10,3670,,67.65218045476807,126.31460844693922,,,,,,,-1,
11,3671,,54.08804047481141,118.11518869643268,,,,,,,-2,
12,3672,,64.02714822162127,118.11518869643268,,,,,,,-2,
13,3673,,40.9803025613352,109.86407489204842,,,,,,,-1,
14,3674,,68.88377233071323,109.86407489204842,,,,,,,-1,
15,3677,,17.200723054823392,30.478958542043657,,,,,,,-1,
16,3678,,13.278235487220265,30.478958542043657,,,,,,,-1,
17,3679,,48.31141659972193,97.40701345804653,,,,,,,-1,
18,3680,,49.095596858324605,97.40701345804653,,,,,,,-2,
19,3703,,40.29939644611776,73.79425425794395,,,,,,,-1,
20,3704,,33.49485781182618,73.79425425794395,,,,,,,-1,
21,3711,,44.28748598649176,90.22263184881385,,,,,,,-1,
22,3712,,45.935145862322074,90.22263184881383,,,,,,,-1,
23,3731,,49.110060391930155,70.60141502765356,,,,,,,-1,
24,3732,,21.491354635723408,70.60141502765356,,,,,,,-1,
25,3733,,44.66727469577286,113.43841721691439,,,,,,,-1,
26,3734,,68.77114252114153,113.43841721691439,,,,,,,-1,
27,3735,,58.15917340338271,124.73132751944883,,,,,,,-1,
28,3736,,66.57215411606612,124.73132751944883,,,,,,,-2,
29,3737,,63.68911755329672,182.80450628691037,,,,,,,-1,
30,3738,,119.11538873361363,182.80450628691034,,,,,,,-1,
31,3744,,25.575005698451236,52.117961651160364,,,,,,,-1,
32,3745,,26.54295595270913,52.117961651160364,,,,,,,-1,
33,3746,,42.080251853885045,69.2144175946346,,,,,,,-1,
34,3747,,27.134165740749552,69.2144175946346,,,,,,,-1,
35,3772,,17.885690295969436,46.50233700191721,,,,,,,-1,
36,3773,,28.616646705947772,46.50233700191721,,,,,,,-1,
37,3777,,26.26567179197985,51.4683485659684,,,,,,,-2,
38,3788,,25.919629028716145,63.192994221926945,,,,,,,-1,
39,3789,,37.2733651932108,63.192994221926945,,,,,,,-1,
40,3798,,32.30482159447939,63.40574068255283,,,,,,,-2,
41,3799,,31.10091908807344,63.40574068255283,,,,,,,-1,
42,3812,,28.479851354201816,53.862839072371976,,,,,,,-1,
43,3813,,25.38298771817016,53.862839072371976,,,,,,,-1,
44,3814,,35.98632893081683,76.32066990446326,,,,,,,-1,
45,3815,,40.33434097364643,76.32066990446326,,,,,,,-1,
46,3822,,43.47576578911882,73.04065987568914,,,,,,,-1,
47,3823,,29.564894086570323,73.04065987568914,,,,,,,-1,
48,3828,,22.343362679410863,50.816339669489835,,,,,,,-1,
49,3829,,28.47297699007897,50.816339669489835,,,,,,,-1,
50,3833,,21.497264131691217,114.2480507711764,,,,,,,-1,
51,3833,,114.2480507711764,137.8580027276936,,,,,,,0,
52,3834,,23.609951956517197,137.8580027276936,,,,,,,-1,
53,3835,,31.905672518876784,67.39131511403961,,,,,,,-1,
54,3836,,35.48564259516283,67.39131511403961,,,,,,,-1,
55,3842,,49.49689296698538,108.60946713245954,,,,,,,-1,
56,3843,,59.11257416547417,108.60946713245954,,,,,,,-1,
57,3846,,20.840805951912518,39.04953678927443,,,,,,,-1,
58,3847,,18.208730837361905,39.04953678927443,,,,,,,-1,
59,4080,,41.913150789483254,96.20490881274482,,,,,,,-1,
60,4090,,1846.8602923554283,1903.6141253072672,,,,,,,1,
61,4199,,42.28427304995098,93.09541771080109,,,,,,,-2,
62,4200,,50.811144660850104,93.09541771080109,,,,,,,-1,
63,4254,,75.78954596653347,112.75747486724313,,,,,,,-1,
64,4278,,24.06878880599221,65.13606250525534,,,,,,,1,
65,4278,,65.13606250525534,104.02952742896673,,,,,,,-1,
66,4284,,42.16465839428599,77.83123977514217,,,,,,,1,
67,4288,,78.3198177029854,127.58047586720451,,,,,,,-1,
68,4288,,127.58047586720451,222.97693017541928,,,,,,,0,
69,4288,,222.97693017541928,269.60536384079245,,,,,,,-1,
70,4289,,191.28554613780705,269.60536384079245,,,,,,,-2,
71,4289,,46.62843366537315,142.02488797358794,,,,,,,-1,
72,4289,,142.02488797358794,191.28554613780705,,,,,,,0,
73,4300,,36.60671120262766,82.5764339431353,,,,,,,1,
74,4303,,12.854204438944492,50.849757195703205,,,,,,,1,
75,4303,,50.849757195703205,88.17790493596596,,,,,,,0,
76,4304,,37.32814774026275,88.17790493596596,,,,,,,-2,
77,4309,,23.75265086852848,125.19027023889817,,,,,,,1,
78,4312,,18.793156150967334,43.190854584528346,,,,,,,1,
79,4315,,13.890330161479401,81.18446141986254,,,,,,,1,
80,4324,,51.635402253456206,117.85043097975115,,,,,,,1,
81,4325,,41.341957185710996,80.24296232896225,,,,,,,1,
82,4327,,8.884860254053383,28.915148646281796,,,,,,,1,
83,4334,,34.50422879628733,85.02912184824959,,,,,,,-1,
84,4335,,50.52489305196226,85.02912184824959,,,,,,,-1,
85,4344,,25.351579156344204,52.967421338409956,,,,,,,-1,
86,4345,,27.61584218206575,52.967421338409956,,,,,,,1,
87,4363,,37.01565495998435,58.53861933572799,,,,,,,1,
88,4364,,30.037246495639096,58.53861933572799,,,,,,,1,
89,4366,,9.617421504536342,59.92370415189535,,,,,,,1,
90,4366,,59.92370415189535,116.57528394285566,,,,,,,-1,
91,4367,,56.65157979096031,116.57528394285566,,,,,,,-1,
92,4371,,73.52063961683659,133.7230840719684,,,,,,,1,
93,4373,,36.96196805904315,94.30022172743145,,,,,,,2,
94,4374,,57.3382536683883,94.30022172743145,,,,,,,-1,
95,4375,,61.22103805521452,87.52079054302763,,,,,,,-1,
96,4375,,87.52079054302763,103.78260001989426,,,,,,,0,
97,4376,,42.56156196467974,103.78260001989426,,,,,,,1,
98,4379,,3.324903189906849,50.638829184496046,,,,,,,1,
99,4381,,18.40304471447561,58.8342759544236,,,,,,,1,
100,4383,,7.060696602334434,43.984835174987644,,,,,,,1,
101,4395,,112.66339543960838,164.5523848343385,,,,,,,1,
102,4395,,164.5523848343385,274.86569369090523,,,,,,,0,
103,4395,,274.86569369090523,340.38638891273706,,,,,,,1,
104,4398,,17.49954172806564,54.6599138115168,,,,,,,1,
105,4398,,54.6599138115168,89.04228517297703,,,,,,,0,
106,4399,,34.38237136146022,89.04228517297703,,,,,,,-1,
107,4404,,11.49582708235059,85.4840452791431,,,,,,,1,
108,4418,,48.05222162698816,75.18863999951435,,,,,,,1,
109,4423,,465.2266541134119,495.29420068652894,,,,,,,1,
110,4427,,8.520619357737754,86.37632206594996,,,,,,,1,
111,4430,,157.67716013940773,186.34069834320155,,,,,,,1,
112,4435,,17.95798065266252,68.52943616752759,,,,,,,1,
113,4435,,68.52943616752759,126.51760611153253,,,,,,,-1,
114,4436,,57.98816994400494,126.51760611153253,,,,,,,-1,
115,4440,,29.98376426257474,39.14797739976082,,,,,,,1,
116,4441,,14.818500004818882,241.15799473494684,,,,,,,-1,
117,4447,,547.1143890188478,556.3992638891295,,,,,,,1,
118,4449,,16.283746522587567,64.1882553575863,,,,,,,1,
119,4449,,64.1882553575863,101.36822260941699,,,,,,,-1,
120,4450,,37.1799672518307,101.36822260941699,,,,,,,-2,
121,4452,,36.89494566771897,162.64011183290717,,,,,,,1,
122,4453,,6.867223485669222,43.574842124970296,,,,,,,1,
123,4453,,43.574842124970296,73.54797841637274,,,,,,,-1,
124,4454,,29.97313629140244,73.54797841637274,,,,,,,-2,
125,4456,,15.951222424536262,75.55535940765074,,,,,,,1,
126,4462,,16.861448723104814,143.30612967626533,,,,,,,-1,
127,4462,,143.30612967626533,173.32977564618537,,,,,,,0,
128,4462,,173.32977564618537,360.5020914885294,,,,,,,-1,
129,4462,,360.5020914885294,424.65382475528486,,,,,,,0,
130,4462,,424.65382475528486,484.4502248380757,,,,,,,-1,
131,4462,,484.4502248380757,558.4630036754603,,,,,,,0,
132,4463,,447.92779823778267,483.557469680081,,,,,,,1,
133,4463,,483.557469680081,541.6015549523555,,,,,,,0,
134,4463,,541.6015549523555,558.4630036754603,,,,,,,-1,
135,4465,,49.685502730079115,97.70201358816337,,,,,,,1,
136,4470,,13.879707034514938,71.07656517757083,,,,,,,1,
137,4534,,1903.7170793911157,2001.673389673525,,,,,,,1,
138,4676,,58.55164249146371,139.9888255004951,,,,,,,-1,
139,4677,,81.43718300903137,139.9888255004951,,,,,,,-1,
140,4702,,258.25496782123093,291.73581319153976,,,,,,,1,
141,4703,,837.6382849263141,872.143506689691,,,,,,,1,
142,4703,,872.143506689691,915.2307722058913,,,,,,,0,
143,4703,,915.2307722058913,1229.3261462861587,,,,,,,1,
144,4703,,1229.3261462861587,1420.6281871027134,,,,,,,0,
145,4703,,1420.6281871027134,1456.7220602917976,,,,,,,1,
146,4703,,1456.7220602917976,1715.614617254492,,,,,,,0,
147,4704,,243.7810490887101,258.8925569626945,,,,,,,1,
148,4704,,258.8925569626945,548.035013734742,,,,,,,0,
149,4704,,548.035013734742,589.5886449163614,,,,,,,1,
150,4704,,589.5886449163614,607.0796399842529,,,,,,,0,
151,4704,,607.0796399842529,843.471110564801,,,,,,,1,
152,4704,,843.471110564801,1715.614617254492,,,,,,,0,
153,4740,,48.471105660250736,94.06767123924462,,,,,,,-1,
154,4741,,45.59656557899389,94.06767123924462,,,,,,,-1,
155,4742,,54.23194246285608,125.50026100699414,,,,,,,-1,
156,4743,,71.26831854413804,125.50026100699412,,,,,,,-1,
157,4744,,38.671112991341836,80.21047410685935,,,,,,,-2,
158,4745,,17.99165883452588,41.53936111551752,,,,,,,1,
159,4745,,41.53936111551752,80.21047410685935,,,,,,,-1,
160,4752,,61.791949896128806,110.32653012982772,,,,,,,1,
161,4790,,55.53644819109707,107.13936469894546,,,,,,,-1,
162,4791,,51.602916507848384,107.13936469894546,,,,,,,-1,
163,4792,,50.254324908801834,89.76176789815166,,,,,,,-1,
164,4793,,39.507442989349826,89.76176789815166,,,,,,,-1,
165,4794,,114.0338858462998,180.19641639681853,,,,,,,-2,
166,4795,,15.662287071226883,66.16253055051874,,,,,,,1,
167,4795,,66.16253055051874,180.19641639681853,,,,,,,-1,
168,4804,,48.70338166576019,82.03963066614084,,,,,,,-1,
169,4805,,33.33624900038065,82.03963066614084,,,,,,,-1,
170,4806,,45.825336514922014,74.50312349524997,,,,,,,-2,
171,4807,,28.67778698032795,74.50312349524997,,,,,,,-1,
172,4818,,51.907497071887356,106.71108384058007,,,,,,,-1,
173,4819,,54.8035867686927,106.71108384058007,,,,,,,-1,
174,4836,,175.0827067011411,224.84954672743066,,,,,,,1,
175,4836,,224.84954672743066,273.15776473194643,,,,,,,0,
176,4837,,48.308218004515766,273.15776473194643,,,,,,,-1,
