segment_id,link_id,ref_node_id,start_lr,end_lr,capacity,free_speed,bike_facility,ped_facility,parking,allowed_uses,l_lanes_added,r_lanes_added
0,5321,,112.30713034881052,167.84133084299663,,,,,,,1,
1,6611,,74.68760888130447,534.7453125882645,,,,,,,0,
2,6611,,28.75986316533112,74.68760888130447,,,,,,,1,
3,6614,,731.7068883198953,900.4696854593948,,,,,,,1,
4,6614,,900.4696854593948,937.5321923281513,,,,,,,0,
5,6649,,23.199393044786422,63.08587314263883,,,,,,,-1,
6,6650,,39.886480097852406,63.08587314263883,,,,,,,1,
7,6743,,1411.1966671293371,1476.0569226571752,,,,,,,1,
8,6743,,629.4075804537662,677.8359368215673,,,,,,,1,
9,6743,,677.8359368215673,1411.1966671293371,,,,,,,0,
10,6744,,455.80814243368945,520.52683767225,,,,,,,1,
11,6744,,520.52683767225,1476.0569226571752,,,,,,,0,
12,6746,,126.97470034657002,208.89272303867426,,,,,,,1,
13,6775,,50.50687490741908,60.0920692279355,,,,,,,1,
14,6928,,149.16626933704353,231.09314675024865,,,,,,,1,
15,6929,,104.31658904940834,231.09314675024865,,,,,,,1,
16,6939,,5314.7717581474735,5542.822953085742,,,,,,,1,
