link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0_index,t3_index,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed,geometry,length
1317,511,512,1/1/2016,1,1,1800_0600,7170.0,597.5,60.0972222225,9.878162289331812,0,0,none,none,301.66666666666663,914.6666666666666,23.767955801104975,<PSTW,57.2777777775,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/10/2016,1,1,1800_0600,6662.0,555.1666666666666,60.42361111104167,9.084240626278293,0,0,none,none,257.33333333333337,1022.6666666666666,25.888601036269428,<PSTW,57.4722222225,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/11/2016,1,1,1800_0600,6869.333333333333,572.4444444444445,58.2754629625,10.618717436078795,0,1,none,none,1122.3333333333333,1172.6666666666665,6.120582120582121,<PSTW,43.111111112500005,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/12/2016,1,1,1800_0600,6649.666666666666,554.1388888888888,54.16666666685418,14.721698872637935,0,6,18:00,19:45,1528.0,873.1428571428571,4.3518760907504355,1.75,20.69841269842857,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/13/2016,1,1,1800_0600,6852.333333333334,571.0277777777778,55.23148148104167,14.196034328017717,0,4,18:00,19:15,1201.3333333333333,961.0666666666666,5.703940066592676,1.25,15.844444442,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/14/2016,1,1,1800_0600,6665.666666666666,555.4722222222222,53.307870369875,16.552060309519117,0,6,18:00,19:45,1361.6666666666667,778.0952380952382,4.895226438188494,1.75,13.428571427714287,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/15/2016,1,1,1800_0600,7649.333333333334,637.4444444444445,53.807870370833335,16.44469839478751,0,8,18:00,20:15,2368.0000000000005,1052.4444444444446,3.2302927927927922,2.25,25.345679013333335,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/16/2016,1,1,1800_0600,7077.333333333334,589.7777777777778,60.68055555666666,9.64499825457924,0,0,none,none,301.3333333333333,1081.3333333333333,23.48672566371682,<PSTW,58.48148148333333,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/17/2016,1,1,1800_0600,6401.333333333334,533.4444444444445,60.59953703729167,8.729748907356297,0,0,none,none,220.66666666666669,1014.6666666666666,25.691691550907446,<PSTW,58.194444447500004,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/18/2016,1,1,1800_0600,6541.333333333333,545.1111111111111,60.37731481520833,8.923725604964426,0,0,none,none,256.0,1105.3333333333333,25.552083333333332,<PSTW,58.4166666675,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/19/2016,1,1,1800_0600,6584.333333333333,548.6944444444445,56.07407407377084,12.93642632893354,0,4,18:00,19:15,1033.6666666666665,826.9333333333332,6.369880683650436,1.25,19.866666668200004,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/2/2016,1,1,1800_0600,6752.333333333334,562.6944444444445,60.78472222125,9.17599592423649,0,0,none,none,224.33333333333334,1070.6666666666667,27.100426772897944,<PSTW,59.138888890000004,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/20/2016,1,1,1800_0600,6687.0,557.25,56.273148147916665,12.77034702307248,0,4,18:00,19:15,1246.0,996.8,5.36677367576244,1.25,21.177777776,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/21/2016,1,1,1800_0600,7057.0,588.0833333333334,55.710648148124996,14.11795412370528,0,4,18:00,19:15,1263.6666666666665,1010.9333333333332,5.584542337114218,1.25,18.244444441999995,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/22/2016,1,1,1800_0600,7604.0,633.6666666666666,57.61805555520832,12.376261646203806,0,2,none,none,1086.6666666666667,1094.2222222222224,6.997546012269938,<PSTW,31.75,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/23/2016,1,1,1800_0600,7332.333333333334,611.0277777777778,60.38194444395833,10.069777830867652,0,0,none,none,252.66666666666666,1166.6666666666667,29.01978891820581,<PSTW,59.166666665,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/24/2016,1,1,1800_0600,6147.333333333333,512.2777777777777,60.4375,8.435398131779932,0,0,none,none,426.0,801.3333333333334,14.43035993740219,<PSTW,60.3888888875,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/25/2016,1,1,1800_0600,6499.333333333333,541.6111111111111,56.745370370833335,11.447354116357843,0,3,none,none,1068.6666666666667,1068.6666666666667,6.081721771678103,<PSTW,24.2777777775,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/26/2016,1,1,1800_0600,6343.333333333333,528.6111111111111,54.24768518610417,13.093991085850867,0,6,18:00,19:45,1434.3333333333333,819.6190476190476,4.422495933069952,1.75,21.317460317571427,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/27/2016,1,1,1800_0600,6979.333333333334,581.6111111111112,55.912037036250005,13.062419858481926,0,4,18:00,19:15,1288.6666666666665,1030.9333333333332,5.4159337816864985,1.25,24.755555554,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/28/2016,1,1,1800_0600,7209.0,600.75,59.67824074166666,9.951617549536357,0,0,none,none,250.33333333333334,1072.0,28.797603195739015,<PSTW,56.722222225,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/29/2016,1,1,1800_0600,7595.666666666666,632.9722222222222,56.946759259375,12.913459825814813,0,3,none,none,1138.0000000000002,1138.0000000000002,6.674575278265962,<PSTW,25.2222222225,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/3/2016,1,1,1800_0600,6703.0,558.5833333333334,60.189814814166674,9.24752583558456,0,0,none,none,296.6666666666667,1080.0,22.59438202247191,<PSTW,58.8888888875,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/30/2016,1,1,1800_0600,6191.666666666666,515.9722222222222,58.19212963041667,9.675233852334612,0,3,none,none,1365.3333333333333,1365.3333333333333,4.534912109375,<PSTW,38.138888890000004,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/31/2016,1,1,1800_0600,4803.0,400.25,60.41550925958334,6.58681384470141,0,0,none,none,225.33333333333331,972.0,19.276795644502464,<PSTW,57.458333332500004,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/4/2016,1,1,1800_0600,6249.333333333334,520.7777777777778,53.428240741416666,15.370595717895613,0,4,18:00,19:15,1284.0,1027.2,4.867082035306335,1.25,16.688888891599998,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/5/2016,1,1,1800_0600,6612.666666666666,551.0555555555555,54.19444444541667,16.527405097143014,0,3,none,none,975.0,975.0,6.782222222222222,<PSTW,11.194444445,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/6/2016,1,1,1800_0600,5859.666666666667,488.3055555555556,52.20138888875001,10.198458288101918,0,2,none,none,1119.6666666666665,1132.8888888888887,5.233402798451921,<PSTW,33.3611111125,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/7/2016,1,1,1800_0600,6785.0,565.4166666666666,57.56481481497917,11.62209851279863,0,1,none,none,1045.6666666666667,1031.3333333333335,6.4886834555307615,<PSTW,37.94444444475,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/8/2016,1,1,1800_0600,7589.666666666667,632.4722222222223,55.682870370625004,14.217389664906696,0,4,18:00,19:15,1394.0,1115.2,5.444524151123864,1.25,21.377777776000002,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,1/9/2016,1,1,1800_0600,7395.666666666666,616.3055555555555,60.141203704166664,10.111111979612971,0,0,none,none,270.3333333333333,1124.0,27.357583230579532,<PSTW,56.833333335000006,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/1/2016,1,1,1800_0600,6456.0,538.0,59.08101851770834,10.29842035818202,0,1,none,none,1060.3333333333335,1032.6666666666667,6.0886513674944975,<PSTW,37.9444444425,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/10/2016,1,1,1800_0600,7221.666666666666,601.8055555555555,55.39120370354167,13.292410968316977,0,4,18:00,19:15,1266.0,1012.8,5.7043180621379665,1.25,23.08888889,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/11/2016,1,1,1800_0600,6702.666666666666,558.5555555555555,51.189814814937506,18.174265946267763,0,8,18:00,20:15,1729.6666666666667,768.7407407407408,3.875120447099633,2.25,15.259259259666667,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/12/2016,1,1,1800_0600,7880.666666666667,656.7222222222223,54.636574074375005,15.361501041104674,0,7,18:00,20:00,2178.6666666666665,1089.3333333333333,3.617197062423501,2.0,27.88888889,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/13/2016,1,1,1800_0600,7870.333333333334,655.8611111111112,60.06712962999999,10.865688128120885,0,0,none,none,260.3333333333333,970.6666666666666,30.23175416133163,<PSTW,58.166666667499996,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/14/2016,1,1,1800_0600,7241.0,603.4166666666666,60.03472222229167,10.014149384182346,0,0,none,none,253.0,1025.3333333333333,28.620553359683793,<PSTW,58.52777778000001,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/15/2016,1,1,1800_0600,6940.0,578.3333333333334,59.122685185833326,10.075121882716012,0,0,none,none,1155.3333333333335,1206.6666666666667,6.006924408540103,<PSTW,50.0833333325,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/16/2016,1,1,1800_0600,6618.0,551.5,54.564814814770834,12.744904448976504,0,5,18:00,19:30,1363.3333333333333,908.8888888888888,4.854278728606357,1.5,23.685185184833333,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/17/2016,1,1,1800_0600,7054.333333333333,587.8611111111111,56.00694444416666,12.664021179994483,0,3,none,none,908.3333333333333,908.3333333333333,7.766238532110092,<PSTW,20.3055555575,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/18/2016,1,1,1800_0600,7254.333333333333,604.5277777777777,53.604166666625,14.315702371741034,0,7,18:00,20:00,1934.3333333333333,967.1666666666666,3.750301568154403,2.0,27.81944444475,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/19/2016,1,1,1800_0600,7928.333333333333,660.6944444444445,55.71527777791667,14.262056077585461,0,4,18:00,19:15,1291.3333333333333,1033.0666666666666,6.139648941662364,1.25,25.333333334000002,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/2/2016,1,1,1800_0600,6638.333333333333,553.1944444444445,55.048611110625,14.02246337168606,0,5,18:00,19:30,1313.0,875.3333333333334,5.0558517390200555,1.5,17.648148146666667,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/20/2016,1,1,1800_0600,7972.333333333333,664.3611111111111,58.48842592604168,11.822756814804071,0,1,none,none,1210.0,1240.6666666666665,6.58870523415978,<PSTW,44.444444445,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/21/2016,1,1,1800_0600,6667.666666666667,567.4609929078015,59.633569739787234,9.495163188961017,0,0,none,none,253.66666666666669,1057.3333333333333,26.28515111695138,<PSTW,58.08333333,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/22/2016,1,1,1800_0600,4655.0,775.8333333333334,53.875,17.608638579783072,0,4,18:00,19:15,1105.6666666666667,884.5333333333334,4.2101296352125415,1.25,25.777777778,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/23/2016,1,1,1800_0600,7067.333333333334,588.9444444444445,56.585648148124996,12.277274759372924,0,3,none,none,935.3333333333333,935.3333333333333,7.555951532430507,<PSTW,21.305555555,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/24/2016,1,1,1800_0600,6969.666666666666,580.8055555555555,53.44212962985417,14.355313469418755,0,6,18:00,19:45,1521.3333333333333,869.3333333333333,4.581288343558282,1.75,22.444444444714286,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/25/2016,1,1,1800_0600,7485.0,623.75,55.745370370625004,13.309442426034279,0,4,18:00,19:15,1191.6666666666665,953.3333333333333,6.281118881118882,1.25,25.444444441999998,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/26/2016,1,1,1800_0600,7785.666666666666,648.8055555555555,55.26620370333333,14.378596806065469,0,4,18:00,19:15,1152.6666666666667,922.1333333333334,6.754482359745516,1.25,19.755555556,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/27/2016,1,1,1800_0600,7988.0,665.6666666666666,59.75231481479167,11.080653546079697,0,0,none,none,362.0,1052.0,22.066298342541437,<PSTW,59.02777777749999,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/28/2016,1,1,1800_0600,6831.333333333334,569.2777777777778,59.65509259354167,9.494186467437716,0,0,none,none,234.0,1068.0,27.41749253511233,<PSTW,57.5,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/29/2016,1,1,1800_0600,6622.333333333334,551.8611111111112,55.59027777770833,12.457369366889266,0,4,18:00,19:15,1068.3333333333335,854.6666666666667,6.198751950078003,1.25,23.244444444,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/3/2016,1,1,1800_0600,7202.666666666667,600.2222222222223,54.9027777775,14.16926969909384,0,4,18:00,19:15,1240.0,992.0,5.808602150537634,1.25,19.044444444,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/4/2016,1,1,1800_0600,7263.0,605.25,54.73842592629166,14.644335575469228,0,5,18:00,19:30,1509.6666666666667,1006.4444444444445,4.810995804813424,1.5,21.314814815333335,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/6/2016,1,1,1800_0600,5340.666666666667,854.5066666666667,60.506666666399994,14.155235095501821,0,0,none,none,1140.6666666666667,1228.0,4.682057276446522,<PSTW,58.805555555,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/7/2016,1,1,1800_0600,6106.0,508.8333333333333,59.98379629645834,8.445860216687755,0,0,none,none,349.6666666666667,765.3333333333334,17.46234509056244,<PSTW,58.6388888875,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/8/2016,1,1,1800_0600,6632.666666666666,552.7222222222222,57.884259259375,10.441092399772499,0,2,none,none,1046.3333333333335,1060.888888888889,6.3389614526919384,<PSTW,38.083333332500004,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1317,511,512,2/9/2016,1,1,1800_0600,6760.0,563.3333333333334,56.307870369791665,11.797835040947247,0,3,none,none,900.0,900.0,7.511111111111111,<PSTW,22.527777775,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3
1348,451,463,1/1/2016,1,1,1800_0600,8810.0,734.1666666666666,66.97743055541667,10.994043386941756,0,0,none,none,563.5,1197.0,15.634427684117124,<PSTW,66.83333333499999,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/10/2016,1,1,1800_0600,7998.0,666.5,67.703125,9.990724674726584,0,0,none,none,1396.0,1451.0,5.729226361031519,<PSTW,63.833333332500004,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/11/2016,1,1,1800_0600,8097.5,674.7916666666666,67.81423611125,10.068970597483954,0,0,none,none,1229.5,1140.0,6.586010573403823,<PSTW,64.3541666675,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/12/2016,1,1,1800_0600,7893.75,657.8125,61.142361111187505,17.363019848998494,0,5,18:00,19:30,1395.0,930.0,5.658602150537634,1.5,13.944444442833335,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/13/2016,1,1,1800_0600,8427.0,702.25,63.34027777770833,14.168240691094022,0,4,18:00,19:15,1483.75,1187.0,5.679528222409435,1.25,25.333333334,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/14/2016,1,1,1800_0600,8111.0,675.9166666666666,60.060763888604164,18.640630741423063,0,6,18:00,19:45,1682.25,961.2857142857143,4.821518799227225,1.75,14.619047617571429,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/15/2016,1,1,1800_0600,9260.0,771.6666666666666,61.38541666645833,16.49235920933155,0,6,18:00,19:45,2167.25,1238.4285714285713,4.2726958126658205,1.75,25.321428571428573,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/16/2016,1,1,1800_0600,8862.25,738.5208333333334,67.53645833270834,11.080084547505002,0,0,none,none,1407.25,1500.0,6.297566175164327,<PSTW,63.8125,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/17/2016,1,1,1800_0600,7942.0,661.8333333333334,67.95486111104167,9.860451605722625,0,0,none,none,1422.0,1430.0,5.585091420534458,<PSTW,64.3541666675,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/18/2016,1,1,1800_0600,8128.0,677.3333333333334,67.83854166604168,10.117152640873243,0,0,none,none,1450.5,1457.0,5.6035849706997585,<PSTW,63.895833332500004,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/19/2016,1,1,1800_0600,7932.25,661.0208333333334,63.881944444729164,13.709145167091009,0,3,none,none,976.25,976.25,8.125224071702945,<PSTW,21.12499999925,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
1348,451,463,1/2/2016,1,1,1800_0600,8385.0,698.75,67.835069444375,10.423281164213575,0,0,none,none,1416.0,1468.0,5.921610169491525,<PSTW,64.9166666675,"LINESTRING (-112.0609673 33.462112, -112.0617174 33.4621463, -112.0623338 33.4621882, -112.0632268 33.4622428, -112.064023 33.4623037, -112.0648467 33.4623753, -112.0662387 33.4624926, -112.0669607 33.4625507, -112.0676811 33.4625982, -112.0683444 33.4626316, -112.0691769 33.4626029)",1.14
