VDF,VDF_TYPE,FT,AT,period,speed_at_capacity,ultimate_capacity,critical_density,free_flow_speed,mm,peak_hour_factor,period_capacity,alpha,beta
"(1, 1)",101,1,1,0600_0900,50.896216901709174,1744.1176749512488,34.26812013001852,69.49999999999999,4.449838117195969,3.189561993204302,0.9800000000000003,4.009999999999999,
"(1, 1)",101,1,1,0900_1400,50.896216901709174,1744.1176749512488,34.26812013001852,69.49999999999999,4.449838117195969,5.223053814988078,0.49000000000000016,4.009999999999999,
"(1, 1)",101,1,1,1400_1800,50.896216901709174,1744.1176749512488,34.26812013001852,69.49999999999999,4.449838117195969,2.1325612437111436,0.33999999999999997,4.009999999999999,
"(1, 1)",101,1,1,1800_0600,50.896216901709174,1744.1176749512488,34.26812013001852,69.49999999999999,4.449838117195969,8.310870704931963,1.59,4.0,
"(1, 1)",101,1,1,daily,--,--,--,--,--,--,--,0.42,4.130000000000002
