name,link_id,from_node_id,to_node_id,facility_type,dir_flag,length,lanes,capacity,free_speed,link_type_name,link_type,cost,geometry,TMC
,33,24,25,,,206.79628515287692,1,nan,40.2335,residential,6,,"LINESTRING (-112.08259 33.45337,-112.08274 33.45337,-112.08308 33.45336,-112.08324 33.45336,-112.08382 33.45336,-112.0846 33.45336,-112.08474 33.45336,-112.08482 33.45336)",
,34,25,24,,,206.80441939682015,1,nan,40.2335,residential,6,,"LINESTRING (-112.08482 33.4533,-112.08474 33.4533,-112.0846 33.4533,-112.08382 33.4533,-112.08324 33.4533,-112.08308 33.4533,-112.08274 33.4533,-112.08259 33.4533)",
,35,25,26,,,42.07670560872908,1,nan,40.2335,residential,6,,"LINESTRING (-112.08482 33.45336,-112.0849 33.45336,-112.08498 33.45336,-112.08527 33.45336)",
,36,26,25,,,42.03643544923031,1,nan,40.2335,residential,6,,"LINESTRING (-112.08527 33.45329,-112.08498 33.4533,-112.0849 33.4533,-112.08482 33.4533)",
,37,26,27,,,100.38012509675718,1,nan,40.2335,residential,6,,"LINESTRING (-112.08527 33.45336,-112.08572 33.45335,-112.08635 33.45335)",
,38,27,26,,,100.39813105002497,1,nan,40.2335,residential,6,,"LINESTRING (-112.08635 33.45329,-112.08572 33.45329,-112.08527 33.45329)",
,39,27,28,,,194.6579633895966,1,nan,40.2335,residential,6,,"LINESTRING (-112.08635 33.45335,-112.08845 33.45334)",
,40,28,27,,,194.6579633895966,1,nan,40.2335,residential,6,,"LINESTRING (-112.08845 33.45328,-112.08635 33.45329)",
,41,28,29,,,62.173721690426795,1,nan,40.2335,residential,6,,"LINESTRING (-112.08845 33.45334,-112.08911 33.45334)",
,42,29,28,,,62.173721690426795,1,nan,40.2335,residential,6,,"LINESTRING (-112.08911 33.45328,-112.08845 33.45328)",
,43,29,30,,,107.24058034998795,1,nan,40.2335,residential,6,,"LINESTRING (-112.08912 33.45334,-112.08953 33.45333,-112.09027 33.45332)",
,44,30,29,,,107.24041581221067,1,nan,40.2335,residential,6,,"LINESTRING (-112.09027 33.45326,-112.08953 33.45327,-112.08911 33.45328)",
,45,30,31,,,91.86782037625454,1,nan,40.2335,residential,6,,"LINESTRING (-112.09027 33.45332,-112.09112 33.45332,-112.09126 33.45332)",
,46,31,30,,,91.8668716026177,1,nan,40.2335,residential,6,,"LINESTRING (-112.09126 33.45326,-112.09112 33.45326,-112.09027 33.45326)",
,49,41,42,,,194.2760353761835,1,nan,40.2335,residential,6,,"LINESTRING (-112.08367 33.45693,-112.08367 33.45806,-112.08367 33.45859,-112.08367 33.45868)",
,50,42,41,,,194.27313360495648,1,nan,40.2335,residential,6,,"LINESTRING (-112.08374 33.45868,-112.08374 33.45859,-112.08374 33.45806,-112.08374 33.45693)",
,51,1287,1126,,,118.93243493243514,1,nan,46.67086,residential,6,,"LINESTRING (-112.08365 33.4482,-112.08365 33.44831,-112.08365 33.44832,-112.08366 33.44875,-112.08366 33.44889,-112.08366 33.44928)",
,52,1126,1287,,,119.2712726209459,1,nan,46.67086,residential,6,,"LINESTRING (-112.08373 33.44928,-112.08373 33.44889,-112.08373 33.44875,-112.08373 33.44832,-112.08373 33.44831,-112.08372 33.4482)",
,53,1564,27,,,216.22891231555423,1,nan,40.2335,residential,6,,"LINESTRING (-112.08631 33.45137,-112.08631 33.45149,-112.08631 33.45232,-112.08631 33.45319,-112.08631 33.45324,-112.08631 33.45332)",
