node_id,name,x_coord,y_coord,z_coord,node_type,ctrl_type,zone_id,activity_type,is_boundary,main_node_id
0,,-112.03268,33.46199,,,0,,motorway,0,
1,,-112.10878,33.44915,,,1,,tertiary,0,
2,,-112.03756,33.45217,,,0,,motorway,0,
3,,-112.03764,33.45119,,,0,,motorway,0,
4,,-112.0897,33.46136,,,0,,motorway,0,
5,,-112.08555,33.4607,,,0,,motorway,0,
6,,-112.08273,33.45989,,,0,,secondary,0,
7,,-112.07639,33.46161,,,0,,motorway,0,
8,,-112.04333,33.45688,,,0,,residential,0,
9,,-112.06871,33.45772,,,0,,residential,0,
10,,-112.04777,33.46157,,,1,,secondary,0,
11,,-112.09995,33.46106,,,1,,motorway,0,
12,,-112.11317,33.44821,,,0,,residential,0,
13,,-112.11316,33.44733,,,0,,residential,0,
14,,-112.11315,33.44694,,,0,,residential,0,
15,,-112.11314,33.44587,,,0,,residential,0,
16,,-112.11313,33.44544,,,0,,residential,0,
17,,-112.06083,33.44562,,,0,,residential,0,
18,,-112.11324,33.45287,,,0,,residential,0,
19,,-112.11313,33.45264,,,0,,residential,0,
20,,-112.11229,33.45264,,,0,,residential,1,
21,,-112.10285,33.45312,,,0,,residential,0,
22,,-112.10237,33.45313,,,0,,residential,0,
23,,-112.10182,33.45313,,,0,,residential,0,
24,,-112.08259,33.45333,,,0,,secondary,0,
25,,-112.08482,33.45333,,,0,,residential,0,
26,,-112.08527,33.45332,,,0,,residential,0,
27,,-112.08635,33.45332,,,0,,residential,0,
28,,-112.08845,33.45331,,,0,,residential,0,
29,,-112.08911,33.45331,,,0,,residential,0,
30,,-112.09027,33.45329,,,0,,residential,0,
31,,-112.09126,33.45329,,,0,,tertiary,0,
32,,-112.09296,33.45321,,,0,,residential,0,
33,,-112.09347,33.45321,,,0,,residential,0,
34,,-112.09401,33.4532,,,0,,residential,0,
35,,-112.09569,33.45316,,,0,,residential,0,
36,,-112.09692,33.45314,,,0,,residential,0,
37,,-112.09815,33.45313,,,0,,residential,0,
38,,-112.09938,33.45313,,,0,,residential,0,
39,,-112.10006,33.45313,,,0,,primary,0,
40,,-112.04994,33.44518,,,0,,residential,0,
41,,-112.08371,33.45693,,,0,,residential,0,
42,,-112.0837,33.45868,,,0,,tertiary,0,
43,,-112.08589,33.45513,,,0,,residential,0,
44,,-112.08591,33.45692,,,0,,residential,0,
45,,-112.08591,33.45867,,,0,,tertiary,0,
46,,-112.04011,33.45295,,,0,,residential,0,
47,,-112.04012,33.45634,,,0,,residential,0,
48,,-112.0401,33.46669,,,0,,residential,0,
49,,-112.04009,33.46758,,,0,,residential,0,
50,,-112.11495,33.46749,,,0,,unclassified,0,
51,,-112.07383,33.44608,,,0,,residential,0,
52,,-112.08478,33.44711,,,0,,residential,0,
53,,-112.08476,33.44509,,,0,,residential,0,
54,,-112.08812,33.44708,,,0,,residential,0,
55,,-112.0881,33.446,,,0,,residential,0,
56,,-112.04226,33.46667,,,0,,residential,0,
