,name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
4,,4,5575203.0,815,630,1,281.6216322174134,1,59,,motorway,1,"LINESTRING (-112.1081262 33.4466484, -112.1080445 33.4471063, -112.1079651 33.4477746, -112.107867 33.4486708, -112.1078363 33.4489608, -112.1078268 33.4490387, -112.1077726 33.4491593)",auto,0
5,West Washington Street,5,5576614.0,975,5891,1,205.89843321741725,2,35,,secondary,4,"LINESTRING (-112.0921041 33.4481372, -112.0923132 33.4481104, -112.0924579 33.4480993, -112.0926627 33.4480593, -112.0928155 33.4480157, -112.092981 33.4479418, -112.0931085 33.4478686, -112.0932311 33.4477662, -112.0933632 33.447649, -112.093464 33.447504, -112.0935247 33.4473994, -112.0935664 33.4472818, -112.0935819 33.4472046, -112.093583 33.4471537, -112.0935935 33.4470374)",auto,0
8,,8,5582635.0,630,817,1,247.1189992167695,1,59,,motorway,1,"LINESTRING (-112.1077726 33.4491593, -112.1078363 33.4494239, -112.1078735 33.4496947, -112.1079816 33.4505672, -112.1080363 33.4510488, -112.1081005 33.4513633)",auto,0
9,South 2nd Street,9,5587569.0,952,917,1,156.94283362512977,1,29,,residential,6,"LINESTRING (-112.0713071 33.4468348, -112.0712811 33.4469163, -112.0712577 33.4469894, -112.0712542 33.4475369, -112.0712564 33.4481363, -112.0712581 33.4482408)",auto,1
10,South 2nd Street,10,5587569.0,917,952,1,156.94283362512977,1,29,,residential,6,"LINESTRING (-112.0712581 33.4482408, -112.0712564 33.4481363, -112.0712542 33.4475369, -112.0712577 33.4469894, -112.0712811 33.4469163, -112.0713071 33.4468348)",auto,1
126,East Roosevelt Street,128,5598011.0,100,1060,1,77.8373152886719,1,29,,tertiary,5,"LINESTRING (-112.0697621 33.4586769, -112.0698706 33.4586769, -112.0701391 33.458677, -112.0702925 33.4586803, -112.0706011 33.4586811)",auto,1
127,East Roosevelt Street,129,5598011.0,1060,100,1,77.83731528867189,2,29,,tertiary,5,"LINESTRING (-112.0706011 33.4586811, -112.0702925 33.4586803, -112.0701391 33.458677, -112.0698706 33.4586769, -112.0697621 33.4586769)",auto,1
160,North 1st Street,162,5600517.0,918,919,1,11.375256130616489,1,29,,residential,6,"LINESTRING (-112.0725603 33.4481907, -112.0725601 33.448293)",auto,1
161,North 1st Street,163,5600517.0,919,918,1,11.375256130616489,1,29,,residential,6,"LINESTRING (-112.0725601 33.448293, -112.0725603 33.4481907)",auto,1
162,North 1st Street,164,5600517.0,919,153,1,114.05156006378292,1,29,,residential,6,"LINESTRING (-112.0725601 33.448293, -112.07256 33.448368, -112.0725622 33.4488071, -112.0725641 33.448952, -112.072566 33.4492503, -112.0725622 33.4493186)",auto,1
