,name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
163,North 1st Street,165,5600517.0,153,919,1,114.05156006378292,1,29,,residential,6,"LINESTRING (-112.0725622 33.4493186, -112.072566 33.4492503, -112.0725641 33.448952, -112.0725622 33.4488071, -112.07256 33.448368, -112.0725601 33.448293)",auto,1
164,North 1st Street,166,5600517.0,153,154,1,119.91534539168656,1,29,,residential,6,"LINESTRING (-112.0725622 33.4493186, -112.0725608 33.449375, -112.0725492 33.4498376, -112.072553 33.4503104, -112.0725534 33.4503969)",auto,1
165,North 1st Street,167,5600517.0,154,153,1,119.9153453916866,1,29,,residential,6,"LINESTRING (-112.0725534 33.4503969, -112.072553 33.4503104, -112.0725492 33.4498376, -112.0725608 33.449375, -112.0725622 33.4493186)",auto,1
166,North 1st Street,168,5600517.0,154,155,1,109.38332062508596,1,29,,residential,6,"LINESTRING (-112.0725534 33.4503969, -112.0725537 33.4504523, -112.0725537 33.4511134, -112.0725519 33.4512931, -112.0725514 33.4513806)",auto,1
167,North 1st Street,169,5600517.0,155,154,1,109.38332062508596,1,29,,residential,6,"LINESTRING (-112.0725514 33.4513806, -112.0725519 33.4512931, -112.0725537 33.4511134, -112.0725537 33.4504523, -112.0725534 33.4503969)",auto,1
230,East Fillmore Street,232,5600966.0,204,205,1,116.57293314634296,1,25,,residential,6,"LINESTRING (-112.0489394 33.4548493, -112.0480478 33.4548378, -112.0478269 33.4548349, -112.047683 33.4548331)",auto,1
231,East Fillmore Street,233,5600966.0,205,204,1,116.57293314634296,1,25,,residential,6,"LINESTRING (-112.047683 33.4548331, -112.0478269 33.4548349, -112.0480478 33.4548378, -112.0489394 33.4548493)",auto,1
232,East Fillmore Street,234,5600967.0,211,1090,1,94.48736353109304,2,25,,residential,6,"LINESTRING (-112.065242 33.4544971, -112.0654059 33.4545275, -112.0661209 33.4545358, -112.0662564 33.4545374)",auto,0
234,East Fillmore Street,236,5600967.0,1093,5864,1,44.71541308183329,2,25,,residential,6,"LINESTRING (-112.0674872 33.4545404, -112.0678504 33.4545337, -112.0679691 33.4545341)",auto,0
235,East Fillmore Street,237,5600967.0,5864,5863,1,187.70772868955788,2,25,,residential,6,"LINESTRING (-112.0679691 33.4545341, -112.0681306 33.4545408, -112.0686782 33.4545397, -112.0698721 33.4545359, -112.0699922 33.4545364)",auto,0
236,East Fillmore Street,238,5600967.0,5863,1094,1,119.06910959805116,2,25,,residential,6,"LINESTRING (-112.0699922 33.4545364, -112.0701058 33.4545369, -112.0705933 33.4545351, -112.0706975 33.4545389, -112.0711609 33.4545438, -112.0712755 33.454545)",auto,0
238,East Fillmore Street,240,5600967.0,1092,5883,1,117.64425983134134,2,25,,residential,6,"LINESTRING (-112.0725476 33.4545456, -112.0727027 33.4545486, -112.0731965 33.4545625, -112.0734818 33.4545651, -112.0736868 33.4545714, -112.0737927 33.454632)",auto,0
262,North 4th Street,264,5602478.0,222,5864,1,103.5051260860498,3,29,,residential,6,"LINESTRING (-112.0674979 33.4535439, -112.0675649 33.4538034, -112.0676588 33.454029, -112.0677527 33.4542124, -112.0678518 33.4543597, -112.0678859 33.4544105)",auto,0
263,North 4th Street,266,5602478.0,5864,223,1,127.64689453000744,3,29,,residential,6,"LINESTRING (-112.0679691 33.4545341, -112.0680083 33.4545924, -112.0681627 33.4548084, -112.0683389 33.4550564, -112.0686393 33.4555362)",auto,0
267,West Portland Street,270,5603378.0,973,1224,1,13.887546537776906,1,29,,residential,6,"LINESTRING (-112.0739459 33.4599288, -112.0740291 33.4599288, -112.0740955 33.4599319)",auto,1
268,West Portland Street,271,5603378.0,1224,973,1,13.887546537776906,1,29,,residential,6,"LINESTRING (-112.0740955 33.4599319, -112.0740291 33.4599288, -112.0739459 33.4599288)",auto,1
281,East Adams Street,284,5603931.0,1261,1260,1,3.562835829324203,1,29,,residential,6,"LINESTRING (-112.0738623 33.4493259, -112.0738239 33.4493262)",auto,1
282,East Adams Street,285,5603931.0,1260,1261,1,3.562835829324203,1,29,,residential,6,"LINESTRING (-112.0738239 33.4493262, -112.0738623 33.4493259)",auto,1
283,East Adams Street,286,5603931.0,1260,153,1,117.06206577750972,1,29,,residential,6,"LINESTRING (-112.0738239 33.4493262, -112.0737378 33.4493267, -112.0726902 33.4493195, -112.0725622 33.4493186)",auto,1
284,East Adams Street,287,5603931.0,153,1260,1,117.06206577750972,1,29,,residential,6,"LINESTRING (-112.0725622 33.4493186, -112.0726902 33.4493195, -112.0737378 33.4493267, -112.0738239 33.4493262)",auto,1
285,East Adams Street,288,5603931.0,153,237,1,119.02242899505796,1,29,,residential,6,"LINESTRING (-112.0725622 33.4493186, -112.0724511 33.4493181, -112.071377 33.4493138, -112.0712794 33.4493166)",auto,1
286,East Adams Street,289,5603931.0,237,153,1,119.02242899505796,1,29,,residential,6,"LINESTRING (-112.0712794 33.4493166, -112.071377 33.4493138, -112.0724511 33.4493181, -112.0725622 33.4493186)",auto,1
319,South 23rd Avenue,322,5605434.0,277,278,1,115.61558261784003,3,39,,secondary,4,"LINESTRING (-112.1087458 33.4469503, -112.1087445 33.4468256, -112.1087518 33.4464037, -112.108755 33.4459106)",auto,0
351,South 18th Avenue,354,5606169.0,686,307,1,245.91544739592032,1,29,,residential,6,"LINESTRING (-112.0981999 33.4470001, -112.0982011 33.447136, -112.098201 33.4471711, -112.098202 33.4476832, -112.0982041 33.4480393, -112.098205 33.4481906, -112.0982149 33.4490707, -112.098215 33.4490918, -112.0982177 33.4492116)",auto,1
352,South 18th Avenue,355,5606169.0,307,686,1,245.91544739592032,1,29,,residential,6,"LINESTRING (-112.0982177 33.4492116, -112.098215 33.4490918, -112.0982149 33.4490707, -112.098205 33.4481906, -112.0982041 33.4480393, -112.098202 33.4476832, -112.098201 33.4471711, -112.0982011 33.447136, -112.0981999 33.4470001)",auto,1
385,North 4th Avenue,388,5608675.0,1290,343,1,119.89065843136922,1,29,,residential,6,"LINESTRING (-112.0789595 33.4482345, -112.0789553 33.4482936, -112.0789517 33.4483433, -112.0789646 33.4484695, -112.0789594 33.4491899, -112.0789592 33.4492129, -112.0789438 33.4493112)",auto,1
386,North 4th Avenue,389,5608675.0,343,1290,1,119.89065843136922,1,29,,residential,6,"LINESTRING (-112.0789438 33.4493112, -112.0789592 33.4492129, -112.0789594 33.4491899, -112.0789646 33.4484695, -112.0789517 33.4483433, -112.0789553 33.4482936, -112.0789595 33.4482345)",auto,1
397,East Monroe Street,400,5613555.0,924,154,1,118.34775624448577,1,29,,residential,6,"LINESTRING (-112.0738289 33.4503842, -112.0737038 33.4503857, -112.0735685 33.4503887, -112.0730561 33.4503936, -112.0727826 33.4503961, -112.0726875 33.4503969, -112.0725534 33.4503969)",auto,1
398,East Monroe Street,401,5613555.0,154,924,1,118.34775624448577,1,29,,residential,6,"LINESTRING (-112.0725534 33.4503969, -112.0726875 33.4503969, -112.0727826 33.4503961, -112.0730561 33.4503936, -112.0735685 33.4503887, -112.0737038 33.4503857, -112.0738289 33.4503842)",auto,1
399,East Monroe Street,402,5613555.0,154,352,1,119.29284603894573,1,29,,residential,6,"LINESTRING (-112.0725534 33.4503969, -112.0724576 33.4503968, -112.0713851 33.4503803, -112.0712678 33.4503785)",auto,1
400,East Monroe Street,403,5613555.0,352,154,1,119.29284603894573,1,29,,residential,6,"LINESTRING (-112.0712678 33.4503785, -112.0713851 33.4503803, -112.0724576 33.4503968, -112.0725534 33.4503969)",auto,1
401,East Monroe Street,404,5613555.0,352,1335,1,122.64569164104668,1,29,,residential,6,"LINESTRING (-112.0712678 33.4503785, -112.0711677 33.4503784, -112.0700901 33.4503773, -112.069946 33.450372)",auto,1
402,East Monroe Street,405,5613555.0,1335,352,1,122.64569164104668,1,29,,residential,6,"LINESTRING (-112.069946 33.450372, -112.0700901 33.4503773, -112.0711677 33.4503784, -112.0712678 33.4503785)",auto,1
403,East Monroe Street,406,5613555.0,1335,1076,1,227.85796174559115,1,29,,residential,6,"LINESTRING (-112.069946 33.450372, -112.06986 33.4503688, -112.0689259 33.4503938, -112.0675865 33.4503898, -112.0674906 33.4503895)",auto,1
404,East Monroe Street,407,5613555.0,1076,1335,1,227.85796174559115,1,29,,residential,6,"LINESTRING (-112.0674906 33.4503895, -112.0675865 33.4503898, -112.0689259 33.4503938, -112.06986 33.4503688, -112.069946 33.450372)",auto,1
405,East Monroe Street,408,5613555.0,1076,353,1,113.4078161660836,1,29,,residential,6,"LINESTRING (-112.0674906 33.4503895, -112.0673935 33.450389, -112.0669662 33.4503948, -112.0666257 33.4503965, -112.0663969 33.4503976, -112.0662683 33.4503982)",auto,1
406,East Monroe Street,409,5613555.0,353,1076,1,113.40781616608362,1,29,,residential,6,"LINESTRING (-112.0662683 33.4503982, -112.0663969 33.4503976, -112.0666257 33.4503965, -112.0669662 33.4503948, -112.0673935 33.450389, -112.0674906 33.4503895)",auto,1
447,North 3rd Street,450,5614425.0,781,100,1,118.58396293095262,3,35,,residential,6,"LINESTRING (-112.0694092 33.4596948, -112.0694663 33.4594828, -112.0694788 33.4594364, -112.0694972 33.4592921, -112.069534 33.4591477, -112.0695816 33.4590111, -112.0696922 33.4587992, -112.0697621 33.4586769)",auto,0
448,North 3rd Street,451,5614466.0,782,781,1,117.50742265976945,1,29,,residential,6,"LINESTRING (-112.0691131 33.4586734, -112.0691816 33.4587888, -112.0692424 33.4589554, -112.069305 33.4591749, -112.0693318 33.459313, -112.0693326 33.459323, -112.0693438 33.4594566, -112.0694092 33.4596948)",auto,0
449,South 5th Street,452,5615136.0,1131,1132,1,10.708197070544829,3,29,,residential,6,"LINESTRING (-112.0672581 33.4464678, -112.0673004 33.4465574)",auto,0
450,South 5th Street,453,5615136.0,1132,916,1,187.8566923553344,3,29,,residential,6,"LINESTRING (-112.0673004 33.4465574, -112.0673505 33.4466617, -112.0673769 33.4467049, -112.0674033 33.4467578, -112.0674338 33.4468205, -112.067453 33.4468914, -112.0674674 33.4470153, -112.06747 33.4472418, -112.0674749 33.4476758, -112.0674755 33.4477726, -112.0674772 33.4480314, -112.0674778 33.4481235, -112.0674782 33.4481665, -112.0674786 33.4482217)",auto,0
553,North 25th Avenue,556,5623231.0,438,439,1,109.25756571729735,1,25,,residential,6,"LINESTRING (-112.1131563 33.4501658, -112.113153 33.4502493, -112.1131544 33.4506151, -112.1131608 33.4508276, -112.1131669 33.451035, -112.1131667 33.4511482)",auto,1
554,North 25th Avenue,557,5623231.0,439,438,1,109.25756571729735,1,25,,residential,6,"LINESTRING (-112.1131667 33.4511482, -112.1131669 33.451035, -112.1131608 33.4508276, -112.1131544 33.4506151, -112.113153 33.4502493, -112.1131563 33.4501658)",auto,1
555,North 25th Avenue,558,5623231.0,439,19,1,165.7788354607516,1,25,,residential,6,"LINESTRING (-112.1131667 33.4511482, -112.1131635 33.4512653, -112.113143 33.4520186, -112.1131413 33.4520808, -112.1131319 33.4524251, -112.1131261 33.4526387)",auto,1
556,North 25th Avenue,559,5623231.0,19,439,1,165.77883546075157,1,25,,residential,6,"LINESTRING (-112.1131261 33.4526387, -112.1131319 33.4524251, -112.1131413 33.4520808, -112.113143 33.4520186, -112.1131635 33.4512653, -112.1131667 33.4511482)",auto,1
567,North 20th Street,570,5624502.0,357,441,1,108.04463725773148,1,29,,tertiary,5,"LINESTRING (-112.0389888 33.4504483, -112.0389885 33.4509331, -112.0389884 33.4510616, -112.0389883 33.4513129, -112.0389955 33.4514198)",auto,1
568,North 20th Street,571,5624502.0,441,357,1,108.04463725773148,1,29,,tertiary,5,"LINESTRING (-112.0389955 33.4514198, -112.0389883 33.4513129, -112.0389884 33.4510616, -112.0389885 33.4509331, -112.0389888 33.4504483)",auto,1
569,North 20th Street,572,5624502.0,441,417,1,169.2414703017822,1,29,,tertiary,5,"LINESTRING (-112.0389955 33.4514198, -112.0389973 33.4515367, -112.0389989 33.4518208, -112.0390004 33.4520818, -112.0390052 33.4529418)",auto,1
570,North 20th Street,573,5624502.0,417,441,1,169.2414703017822,1,29,,tertiary,5,"LINESTRING (-112.0390052 33.4529418, -112.0390004 33.4520818, -112.0389989 33.4518208, -112.0389973 33.4515367, -112.0389955 33.4514198)",auto,1
579,North 20th Street,582,5624502.0,444,1305,1,253.41330398489796,1,29,,tertiary,5,"LINESTRING (-112.0390091 33.4563698, -112.03901 33.4571263, -112.0390105 33.4575857, -112.0390102 33.4585355, -112.0390102 33.4585629, -112.0390102 33.4586488)",auto,1
580,North 20th Street,583,5624502.0,1305,444,1,253.41330398489796,1,29,,tertiary,5,"LINESTRING (-112.0390102 33.4586488, -112.0390102 33.4585629, -112.0390102 33.4585355, -112.0390105 33.4575857, -112.03901 33.4571263, -112.0390091 33.4563698)",auto,1
581,North 20th Street,584,5624502.0,1305,130,1,103.0668819547434,1,29,,tertiary,5,"LINESTRING (-112.0390102 33.4586488, -112.0390105 33.4587509, -112.0390106 33.4587823, -112.0390129 33.4595757)",auto,1
582,North 20th Street,585,5624502.0,130,1305,1,103.0668819547434,1,29,,tertiary,5,"LINESTRING (-112.0390129 33.4595757, -112.0390106 33.4587823, -112.0390105 33.4587509, -112.0390102 33.4586488)",auto,1
591,North 11th Street,594,5625021.0,1262,448,1,168.04705382156953,1,30,,tertiary,5,"LINESTRING (-112.0589804 33.4498369, -112.0589814 33.4505886, -112.0589829 33.4509095, -112.0589838 33.4509304, -112.0589848 33.4512506, -112.0589805 33.4513481)",auto,1
592,North 11th Street,595,5625021.0,448,1262,1,168.04705382156953,1,30,,tertiary,5,"LINESTRING (-112.0589805 33.4513481, -112.0589848 33.4512506, -112.0589838 33.4509304, -112.0589829 33.4509095, -112.0589814 33.4505886, -112.0589804 33.4498369)",auto,1
621,North 16th Street,624,5628689.0,5899,1658,1,74.03931807484602,2,39,,secondary,4,"LINESTRING (-112.0477799 33.4483584, -112.0476802 33.4484577, -112.0476809 33.4486222, -112.0476833 33.4488382, -112.0476834 33.4489242, -112.047683 33.448994)",auto,0
648,East Pierce Street,651,5637944.0,337,502,1,120.29413772371537,1,25,,residential,6,"LINESTRING (-112.0302182 33.45641, -112.0313359 33.4564177, -112.0315066 33.4563729)",auto,1
649,East Pierce Street,652,5637944.0,502,337,1,120.29413772371537,1,25,,residential,6,"LINESTRING (-112.0315066 33.4563729, -112.0313359 33.4564177, -112.0302182 33.45641)",auto,1
678,North 17th Avenue,681,5639471.0,1721,510,1,47.33921822950734,2,39,,secondary,4,"LINESTRING (-112.0958501 33.4488091, -112.0958491 33.4491112, -112.0958458 33.4492348)",auto,1
679,North 17th Avenue,682,5639471.0,510,1721,1,47.33921822950734,1,39,,secondary,4,"LINESTRING (-112.0958458 33.4492348, -112.0958491 33.4491112, -112.0958501 33.4488091)",auto,1
680,North 17th Avenue,683,5639478.0,512,35,1,207.08884542443792,1,25,,residential,6,"LINESTRING (-112.095762 33.4513033, -112.0957403 33.451413, -112.095736 33.451477, -112.0957084 33.4517266, -112.0956946 33.4518856, -112.0956902 33.4523033, -112.0956843 33.4530778, -112.095685 33.4531626)",auto,1
681,North 17th Avenue,684,5639478.0,35,512,1,207.08884542443792,1,25,,residential,6,"LINESTRING (-112.095685 33.4531626, -112.0956843 33.4530778, -112.0956902 33.4523033, -112.0956946 33.4518856, -112.0957084 33.4517266, -112.095736 33.451477, -112.0957403 33.451413, -112.095762 33.4513033)",auto,1
692,North 17th Avenue,695,5639488.0,519,5895,1,234.34392556212103,1,29,,residential,6,"LINESTRING (-112.0956065 33.463736, -112.0956049 33.4639243, -112.0956031 33.4641308, -112.0955879 33.4645984, -112.0955917 33.4651035, -112.0955928 33.4652422, -112.0955939 33.4653898, -112.0955965 33.465734, -112.095596 33.4658433)",auto,1
693,North 17th Avenue,696,5639488.0,5895,519,1,234.34392556212103,1,29,,residential,6,"LINESTRING (-112.095596 33.4658433, -112.0955965 33.465734, -112.0955939 33.4653898, -112.0955928 33.4652422, -112.0955917 33.4651035, -112.0955879 33.4645984, -112.0956031 33.4641308, -112.0956049 33.4639243, -112.0956065 33.463736)",auto,1
746,North 2nd Avenue,749,5644000.0,536,1338,1,114.32227870303522,1,25,,residential,6,"LINESTRING (-112.0764414 33.450373, -112.0764404 33.4504399, -112.0764399 33.4504728, -112.0764375 33.4506323, -112.0764376 33.4506698, -112.0764376 33.4506857, -112.0764372 33.4509758, -112.0764363 33.4510987, -112.0764354 33.4512971, -112.076435 33.4514011)",auto,1
747,North 2nd Avenue,750,5644000.0,1338,536,1,114.32227870303524,1,25,,residential,6,"LINESTRING (-112.076435 33.4514011, -112.0764354 33.4512971, -112.0764363 33.4510987, -112.0764372 33.4509758, -112.0764376 33.4506857, -112.0764376 33.4506698, -112.0764375 33.4506323, -112.0764399 33.4504728, -112.0764404 33.4504399, -112.0764414 33.450373)",auto,1
748,North 2nd Avenue,751,5644000.0,1338,537,1,368.8459351275476,1,25,,residential,6,"LINESTRING (-112.076435 33.4514011, -112.0764345 33.4515066, -112.0764321 33.4520398, -112.0764278 33.4520973, -112.0764335 33.4526051, -112.0764355 33.4527837, -112.0764332 33.453066, -112.0764306 33.4533283, -112.0764288 33.4536158, -112.0764298 33.4537028, -112.0764298 33.4537066, -112.0764343 33.4541057, -112.076434 33.4541422, -112.0764339 33.4541513, -112.0764323 33.4543172, -112.07643 33.4545626, -112.0764298 33.4545939, -112.0764316 33.454718)",auto,1
749,North 2nd Avenue,752,5644000.0,537,1338,1,368.8459351275477,1,25,,residential,6,"LINESTRING (-112.0764316 33.454718, -112.0764298 33.4545939, -112.07643 33.4545626, -112.0764323 33.4543172, -112.0764339 33.4541513, -112.076434 33.4541422, -112.0764343 33.4541057, -112.0764298 33.4537066, -112.0764298 33.4537028, -112.0764288 33.4536158, -112.0764306 33.4533283, -112.0764332 33.453066, -112.0764355 33.4527837, -112.0764335 33.4526051, -112.0764278 33.4520973, -112.0764321 33.4520398, -112.0764345 33.4515066, -112.076435 33.4514011)",auto,1
768,South 4th Street,771,5646192.0,954,550,1,148.1010984872024,1,29,,residential,6,"LINESTRING (-112.0687152 33.4463939, -112.0687151 33.4463025, -112.068715 33.4462465, -112.0687119 33.4451457, -112.0687126 33.445062)",auto,1
769,South 4th Street,772,5646192.0,550,954,1,148.10109848720242,1,29,,residential,6,"LINESTRING (-112.0687126 33.445062, -112.0687119 33.4451457, -112.068715 33.4462465, -112.0687151 33.4463025, -112.0687152 33.4463939)",auto,1
800,South 4th Avenue,803,5647368.0,1290,1280,1,123.35257710903468,1,29,,residential,6,"LINESTRING (-112.0789595 33.4482345, -112.078967 33.4481287, -112.0789558 33.447524, -112.0789529 33.4473651, -112.0789505 33.4472366, -112.0789467 33.4471255)",auto,0
805,North 17th Drive,808,5647451.0,543,561,1,293.03824517469405,1,25,,unclassified,11,"LINESTRING (-112.0967966 33.4632275, -112.0967092 33.4633362, -112.0967083 33.4634946, -112.0967022 33.4639251, -112.0967001 33.4640727, -112.096698 33.4642179, -112.0966853 33.4651042, -112.096683 33.465267, -112.0966762 33.465744, -112.0966749 33.4658405)",auto,1
806,North 17th Drive,809,5647451.0,561,543,1,293.038245174694,1,25,,unclassified,11,"LINESTRING (-112.0966749 33.4658405, -112.0966762 33.465744, -112.096683 33.465267, -112.0966853 33.4651042, -112.096698 33.4642179, -112.0967001 33.4640727, -112.0967022 33.4639251, -112.0967083 33.4634946, -112.0967092 33.4633362, -112.0967966 33.4632275)",auto,1
811,North 2nd Street,814,5654322.0,917,237,1,119.64473059264137,1,25,,residential,6,"LINESTRING (-112.0712581 33.4482408, -112.0712593 33.4483197, -112.0712602 33.4483749, -112.0712612 33.4484702, -112.0712648 33.4487982, -112.0712669 33.4488619, -112.0712739 33.4490772, -112.0712791 33.4492385, -112.0712794 33.4493166)",auto,1
812,North 2nd Street,815,5654322.0,237,917,1,119.64473059264137,1,25,,residential,6,"LINESTRING (-112.0712794 33.4493166, -112.0712791 33.4492385, -112.0712739 33.4490772, -112.0712669 33.4488619, -112.0712648 33.4487982, -112.0712612 33.4484702, -112.0712602 33.4483749, -112.0712593 33.4483197, -112.0712581 33.4482408)",auto,1
813,North 2nd Street,816,5654322.0,237,352,1,118.09979886939622,1,25,,residential,6,"LINESTRING (-112.0712794 33.4493166, -112.0712771 33.4494007, -112.0712799 33.4495214, -112.0712735 33.4502403, -112.0712738 33.4502836, -112.0712678 33.4503785)",auto,1
814,North 2nd Street,817,5654322.0,352,237,1,118.09979886939622,1,25,,residential,6,"LINESTRING (-112.0712678 33.4503785, -112.0712738 33.4502836, -112.0712735 33.4502403, -112.0712799 33.4495214, -112.0712771 33.4494007, -112.0712794 33.4493166)",auto,1
815,North 2nd Street,818,5654322.0,352,5867,1,106.79408374713742,1,25,,residential,6,"LINESTRING (-112.0712678 33.4503785, -112.0712678 33.4504522, -112.0712672 33.4512821, -112.0712653 33.4513389)",auto,1
816,North 2nd Street,819,5654322.0,5867,352,1,106.79408374713742,1,25,,residential,6,"LINESTRING (-112.0712653 33.4513389, -112.0712672 33.4512821, -112.0712678 33.4504522, -112.0712678 33.4503785)",auto,1
817,North 2nd Street,822,5654322.0,5867,408,1,107.19197732557068,1,25,,residential,6,"LINESTRING (-112.0712669 33.4514357, -112.071267 33.4514993, -112.0712659 33.4523168, -112.0712658 33.4523997)",auto,1
818,North 2nd Street,823,5654322.0,408,5867,1,107.19197732557068,1,25,,residential,6,"LINESTRING (-112.0712658 33.4523997, -112.0712659 33.4523168, -112.071267 33.4514993, -112.0712669 33.4514357)",auto,1
851,East McKinley Street,856,5654780.0,922,930,1,8.88344697839342,1,25,,residential,6,"LINESTRING (-112.0738878 33.4566695, -112.0737937 33.4566547)",auto,1
852,East McKinley Street,857,5654780.0,930,922,1,8.88344697839342,1,25,,residential,6,"LINESTRING (-112.0737937 33.4566547, -112.0738878 33.4566695)",auto,1
853,East McKinley Street,858,5654780.0,930,160,1,116.95666844249334,1,25,,residential,6,"LINESTRING (-112.0737937 33.4566547, -112.0736523 33.4566149, -112.0735168 33.4565976, -112.0732003 33.4565968, -112.0725424 33.4565952)",auto,1
854,East McKinley Street,859,5654780.0,160,930,1,116.95666844249337,1,25,,residential,6,"LINESTRING (-112.0725424 33.4565952, -112.0732003 33.4565968, -112.0735168 33.4565976, -112.0736523 33.4566149, -112.0737937 33.4566547)",auto,1
931,North 10th Street,936,5661438.0,318,281,1,118.01607866634184,1,25,,residential,6,"LINESTRING (-112.060774 33.4646691, -112.060773 33.4649101, -112.060773 33.4650725, -112.060772 33.4656108, -112.0607758 33.4657304)",auto,1
932,North 10th Street,937,5661438.0,281,318,1,118.01607866634184,1,25,,residential,6,"LINESTRING (-112.0607758 33.4657304, -112.060772 33.4656108, -112.060773 33.4650725, -112.060773 33.4649101, -112.060774 33.4646691)",auto,1
933,North 10th Street,938,5661438.0,281,301,1,159.54497443934247,1,25,,residential,6,"LINESTRING (-112.0607758 33.4657304, -112.0607792 33.4658446, -112.0607782 33.4661871, -112.0607781 33.4662391, -112.0607776 33.4664265, -112.060777 33.4666216, -112.06076 33.467165)",auto,1
934,North 10th Street,939,5661438.0,301,281,1,159.54497443934247,1,25,,residential,6,"LINESTRING (-112.06076 33.467165, -112.060777 33.4666216, -112.0607776 33.4664265, -112.0607781 33.4662391, -112.0607782 33.4661871, -112.0607792 33.4658446, -112.0607758 33.4657304)",auto,1
939,North 22nd Street,944,5662014.0,5874,247,1,119.44707256082036,1,25,,residential,6,"LINESTRING (-112.0346079 33.4483459, -112.0346062 33.4484476, -112.0346044 33.4490104, -112.0346031 33.4494201)",auto,1
940,North 22nd Street,945,5662014.0,247,5874,1,119.44707256082036,1,25,,residential,6,"LINESTRING (-112.0346031 33.4494201, -112.0346044 33.4490104, -112.0346062 33.4484476, -112.0346079 33.4483459)",auto,1
955,North 22nd Street,960,5662042.0,1571,1350,1,28.166707644021344,1,25,,residential,6,"LINESTRING (-112.034654 33.4655233, -112.0346549 33.4656125, -112.0346566 33.4657766)",auto,1
956,North 22nd Street,961,5662042.0,1350,1571,1,28.166707644021344,1,25,,residential,6,"LINESTRING (-112.0346566 33.4657766, -112.0346549 33.4656125, -112.034654 33.4655233)",auto,1
1027,North 15th Street,1032,5664720.0,5880,240,1,121.68587472965882,1,25,,residential,6,"LINESTRING (-112.049912 33.4483503, -112.0499093 33.4484436, -112.0499072 33.4489076, -112.0499021 33.4494446)",auto,1
1028,North 15th Street,1033,5664720.0,240,5880,1,121.68587472965882,1,25,,residential,6,"LINESTRING (-112.0499021 33.4494446, -112.0499072 33.4489076, -112.0499093 33.4484436, -112.049912 33.4483503)",auto,1
1087,East Portland Street,1092,5667014.0,967,162,1,112.8004328246364,1,29,,residential,6,"LINESTRING (-112.0737669 33.4600056, -112.0736976 33.4600066, -112.0736678 33.4600071, -112.0732039 33.4600089, -112.072551 33.4600147)",auto,1
