poi_type_id,building,unit_of_measure,trip_purpose,production_rate1,attraction_rate1,production_notes,attraction_notes
0,sty,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
1,bicycle_parking,"1,000 Sq. Ft. GFA",1,0.1,2.39,0,1
2,,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
3,dormitory,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
4,theatre,"1,000 Sq. Ft. GFA",1,0.1,6.17,0,1
5,pub,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
6,industrial,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
7,courthouse,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
8,cafe,"1,000 Sq. Ft. GFA",1,0.1,36.31,0,1
9,doctors,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
10,ranger_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
11,barn,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
12,bank,"1,000 Sq. Ft. GFA",1,12.13,0.1,1,0
13,office,"1,000 Sq. Ft. GFA",1,2.04,0.1,1,0
14,parking_space,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
15,events_venue,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
16,retail,"1,000 Sq. Ft. GFA",1,0.1,6.84,0,1
17,shower,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
18,cinema,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
19,supermarket,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
20,townhall,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
21,fire_station,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
22,prison,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
23,arts_centre,"1,000 Sq. Ft. GFA",1,0.18,0.1,1,0
24,social_facility,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
25,static_caravan,"1,000 Sq. Ft. GFA",1,0.1,0.1,0,0
