activity_zone_id,name,centroid_x,centroid_y,geometry,centroid,poi_count,total_production,total_attraction
1,A1,-84.34461408538459,40.89811308230769,"POLYGON ((-84.40459 40.86715,-84.40459 40.9242,-84.29496 40.9242,-84.29496 40.86715,-84.40459 40.86715))",POINT (-84.34461408538459 40.89811308230769),26,1128.2690166787838,1162.1643444862655
2,A2,-84.2391640293651,40.9027553714286,"POLYGON ((-84.29496 40.86715,-84.29496 40.9242,-84.18533000000001 40.9242,-84.18533000000001 40.86715,-84.29496 40.86715))",POINT (-84.2391640293651 40.9027553714286),50,1068.5324221414398,1077.7430141594366
3,A3,-84.1328633642857,40.89964553333333,"POLYGON ((-84.18533000000001 40.86715,-84.18533000000001 40.9242,-84.07570000000001 40.9242,-84.07570000000001 40.86715,-84.18533000000001 40.86715))",POINT (-84.1328633642857 40.89964553333333),27,660.414048743296,658.7849954877183
4,A4,-84.050187716,40.913182434857156,"POLYGON ((-84.07570000000001 40.86715,-84.07570000000001 40.9242,-83.96607000000002 40.9242,-83.96607000000002 40.86715,-84.07570000000001 40.86715))",POINT (-84.050187716 40.913182434857156),80,2498.9611726011017,1848.9158360195456
5,A5,-83.89465837148677,40.89347179669081,"POLYGON ((-83.96607000000002 40.86715,-83.96607000000002 40.9242,-83.85644000000002 40.9242,-83.85644000000002 40.86715,-83.96607000000002 40.86715))",POINT (-83.89465837148677 40.89347179669081),2027,8063.491191410206,12308.62369071011
6,B1,-84.339854823741,40.84309756618704,"POLYGON ((-84.404591 40.810100000000006,-84.404591 40.86715,-84.294961 40.86715,-84.294961 40.810100000000006,-84.404591 40.810100000000006))",POINT (-84.339854823741 40.84309756618704),59,6965.568088102707,4329.413419538464
7,B2,-84.25335791637934,40.83984360172415,"POLYGON ((-84.294961 40.810100000000006,-84.294961 40.86715,-84.185331 40.86715,-84.185331 40.810100000000006,-84.294961 40.810100000000006))",POINT (-84.25335791637934 40.83984360172415),40,1087.7881967342082,1087.7881967342082
8,B3,-84.12651725448274,40.83609473172408,"POLYGON ((-84.185331 40.810100000000006,-84.185331 40.86715,-84.07570100000001 40.86715,-84.07570100000001 40.810100000000006,-84.185331 40.810100000000006))",POINT (-84.12651725448274 40.83609473172408),47,1130.9497964569282,1434.774547037555
9,B4,-83.98893396813186,40.827241778021964,"POLYGON ((-84.07570100000001 40.810100000000006,-84.07570100000001 40.86715,-83.96607100000001 40.86715,-83.96607100000001 40.810100000000006,-84.07570100000001 40.810100000000006))",POINT (-83.98893396813186 40.827241778021964),56,452.7361858684419,1899.9947017498885
10,B5,-83.92399902258067,40.84244388709678,"POLYGON ((-83.96607100000001 40.810100000000006,-83.96607100000001 40.86715,-83.85644100000002 40.86715,-83.85644100000002 40.810100000000006,-83.96607100000001 40.810100000000006))",POINT (-83.92399902258067 40.84244388709678),25,148.70635435833597,674.274677248544
11,C1,-84.34433608490565,40.790740358490574,"POLYGON ((-84.404591 40.75305000000001,-84.404591 40.810100000000006,-84.294961 40.810100000000006,-84.294961 40.75305000000001,-84.404591 40.75305000000001))",POINT (-84.34433608490565 40.790740358490574),27,373.68906747942384,373.68906747942384
12,C2,-84.21269835192305,40.78023856538461,"POLYGON ((-84.294961 40.75305000000001,-84.294961 40.810100000000006,-84.185331 40.810100000000006,-84.185331 40.75305000000001,-84.294961 40.75305000000001))",POINT (-84.21269835192305 40.78023856538461),22,3088.350349976071,2901.224073236231
13,C3,-84.13520597006836,40.76470622457994,"POLYGON ((-84.185331 40.75305000000001,-84.185331 40.810100000000006,-84.07570100000001 40.810100000000006,-84.07570100000001 40.75305000000001,-84.185331 40.75305000000001))",POINT (-84.13520597006836 40.76470622457994),896,15152.811363762206,27856.75548838747
14,C4,-84.04666721098484,40.773499392803046,"POLYGON ((-84.07570100000001 40.75305000000001,-84.07570100000001 40.810100000000006,-83.96607100000001 40.810100000000006,-83.96607100000001 40.75305000000001,-84.07570100000001 40.75305000000001))",POINT (-84.04666721098484 40.773499392803046),128,2499.400538837849,6084.710830976001
15,C5,-83.9322143482143,40.76937391428571,"POLYGON ((-83.96607100000001 40.75305000000001,-83.96607100000001 40.810100000000006,-83.85644100000002 40.810100000000006,-83.85644100000002 40.75305000000001,-83.96607100000001 40.75305000000001))",POINT (-83.9322143482143 40.76937391428571),40,262.7065420592,723.9151304270717
16,D1,-84.34439027181209,40.709275722147645,"POLYGON ((-84.404591 40.69600000000001,-84.404591 40.75305000000001,-84.294961 40.75305000000001,-84.294961 40.69600000000001,-84.404591 40.69600000000001))",POINT (-84.34439027181209 40.709275722147645),33,1308.1589835879677,1351.5738922253884
17,D2,-84.20890311176471,40.72488769411765,"POLYGON ((-84.294961 40.69600000000001,-84.294961 40.75305000000001,-84.185331 40.75305000000001,-84.185331 40.69600000000001,-84.294961 40.69600000000001))",POINT (-84.20890311176471 40.72488769411765),16,709.5603394375358,720.601657336365
18,D3,-84.12319820815998,40.73353351019998,"POLYGON ((-84.185331 40.69600000000001,-84.185331 40.75305000000001,-84.07570100000001 40.75305000000001,-84.07570100000001 40.69600000000001,-84.185331 40.69600000000001))",POINT (-84.12319820815998 40.73353351019998),1276,27351.84949190627,25191.456950516607
19,D4,-84.05002936041186,40.7340932112128,"POLYGON ((-84.07570100000001 40.69600000000001,-84.07570100000001 40.75305000000001,-83.96607100000001 40.75305000000001,-83.96607100000001 40.69600000000001,-84.07570100000001 40.69600000000001))",POINT (-84.05002936041186 40.7340932112128),243,4114.238234684558,13845.924610033355
20,D5,-83.9173908392857,40.71546245357142,"POLYGON ((-83.96607100000001 40.69600000000001,-83.96607100000001 40.75305000000001,-83.85644100000002 40.75305000000001,-83.85644100000002 40.69600000000001,-83.96607100000001 40.69600000000001))",POINT (-83.9173908392857 40.71546245357142),62,727.8713670376576,1228.5826131689664
21,E1,-84.34987962083333,40.67543754166666,"POLYGON ((-84.404591 40.638950000000015,-84.404591 40.69600000000001,-84.294961 40.69600000000001,-84.294961 40.638950000000015,-84.404591 40.638950000000015))",POINT (-84.34987962083333 40.67543754166666),4,221.284664064064,221.284664064064
22,E2,-84.2351369475,40.66826175,"POLYGON ((-84.294961 40.638950000000015,-84.294961 40.69600000000001,-84.185331 40.69600000000001,-84.185331 40.638950000000015,-84.294961 40.638950000000015))",POINT (-84.2351369475 40.66826175),1,400.965841359104,400.965841359104
