,name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
1,,1,41229333,traffic_signals,,1.0,,tertiary,0.0,-112.1087768,33.4491509,,,,,0.0,0.0,
10,,10,41440516,traffic_signals,,1.0,,secondary,0.0,-112.0477749,33.4615728,,,,,0.0,0.0,
11,,11,41446394,traffic_signals,,1.0,,motorway,0.0,-112.0999471,33.461060700000004,,,,,0.0,0.0,
78,,78,41584052,traffic_signals,,1.0,,secondary,0.0,-112.091327,33.4658294,,,,,0.0,0.0,
100,,100,41588080,traffic_signals,,1.0,,tertiary,0.0,-112.0697621,33.4586769,,,,,0.0,0.0,
110,,110,41588103,traffic_signals,,1.0,,secondary,0.0,-112.0476325,33.4587185,,,,,0.0,0.0,
117,,117,41588124,traffic_signals,,1.0,,secondary,0.0,-112.0302272,33.4585868,,,,,0.0,0.0,
119,,119,41588169,traffic_signals,,1.0,,residential,0.0,-112.0725722,33.4586814,,,,8.0,10.0,10.0,residential
138,,138,41599884,traffic_signals,,1.0,,primary,0.0,-112.0751121,33.4471484,,,,,0.0,0.0,
139,,139,41599887,traffic_signals,,1.0,,residential,0.0,-112.0750535,33.446076399999995,,,,23.0,10.0,10.0,residential
143,,143,41601104,traffic_signals,,1.0,,secondary,0.0,-112.0782659,33.4657767,,,,,0.0,0.0,
149,,149,41601197,traffic_signals,,1.0,,tertiary,0.0,-112.0777574,33.4586516,,,,,0.0,0.0,
153,,153,41607948,traffic_signals,,1.0,,residential,0.0,-112.0725622,33.4493186,,,,18.0,10.0,10.0,residential
154,,154,41607950,traffic_signals,,1.0,,residential,0.0,-112.0725534,33.4503969,,,,18.0,10.0,10.0,residential
155,,155,41607952,traffic_signals,,1.0,,residential,0.0,-112.0725514,33.45138060000001,,,,18.0,10.0,10.0,residential
205,,205,41610824,traffic_signals,,1.0,,residential,0.0,-112.047683,33.4548331,,,,14.0,10.0,10.0,residential
209,,211,41610841,traffic_signals,,1.0,,residential,0.0,-112.065242,33.454497100000005,,,,13.0,10.0,10.0,residential
215,,217,41614149,traffic_signals,,1.0,,secondary,0.0,-112.0958205,33.447000800000005,,,,,0.0,0.0,
