,name,node_id,osm_node_id,osm_highway,zone_id,ctrl_type,node_type,activity_type,is_boundary,x_coord,y_coord,main_node_id,poi_id,notes,activity_zone_id,production,attraction,activity_location_tab
216,,218,41614151,traffic_signals,,1.0,,residential,0.0,-112.0958127,33.4459756,,,,22.0,10.0,10.0,residential
235,,237,41634718,traffic_signals,,1.0,,residential,0.0,-112.0712794,33.4493166,,,,18.0,10.0,10.0,residential
252,,254,41644382,traffic_signals,,1.0,,residential,0.0,-112.0620722,33.451350899999994,,,,19.0,10.0,10.0,residential
275,,277,41648701,traffic_signals,,1.0,,secondary,0.0,-112.10874579999998,33.446950300000005,,,,,0.0,0.0,
278,,280,41649612,traffic_signals,,1.0,,secondary,0.0,-112.06940149999998,33.465723,,,,,0.0,0.0,
279,,281,41649618,traffic_signals,,1.0,,residential,0.0,-112.0607758,33.4657304,,,,4.0,10.0,10.0,residential
282,,284,41649628,traffic_signals,,1.0,,secondary,0.0,-112.0477025,33.4657775,,,,,0.0,0.0,
333,,335,41673216,traffic_signals,,1.0,,secondary,0.0,-112.0301933,33.4513457,,,,,0.0,0.0,
335,,337,41673225,traffic_signals,,1.0,,secondary,0.0,-112.0302182,33.45641,,,,,0.0,0.0,
349,,352,41706255,traffic_signals,,1.0,,residential,0.0,-112.0712678,33.4503785,,,,18.0,10.0,10.0,residential
417,,421,41769115,traffic_signals,,1.0,,secondary,0.0,-112.0825871,33.4514144,,,,,0.0,0.0,
423,,427,41769132,traffic_signals,,1.0,,secondary,0.0,-112.0825986,33.4586808,,,,,0.0,0.0,
435,,439,41789076,traffic_signals,,1.0,,residential,0.0,-112.1131667,33.4511482,,,,16.0,10.0,10.0,residential
437,,441,41799950,traffic_signals,,1.0,,tertiary,0.0,-112.0389955,33.451419800000004,,,,,0.0,0.0,
444,,448,41804901,traffic_signals,,1.0,,tertiary,0.0,-112.0589805,33.451348100000004,,,,,0.0,0.0,
481,,485,41878906,traffic_signals,,1.0,,primary,0.0,-112.1001145,33.449208500000005,,,,,0.0,0.0,
483,,487,41878912,traffic_signals,,1.0,,secondary,0.0,-112.1000903,33.4512628,,,,,0.0,0.0,
489,,493,41878942,traffic_signals,,1.0,,secondary,0.0,-112.0999836,33.4658673,,,,,0.0,0.0,
490,,494,41882944,traffic_signals,,1.0,,residential,0.0,-112.0776931,33.4471253,,,,23.0,10.0,10.0,residential
506,,510,41934698,traffic_signals,,1.0,,secondary,0.0,-112.0958458,33.4492348,,,,,0.0,0.0,
507,,511,41934702,traffic_signals,,1.0,,residential,0.0,-112.0958523,33.4502693,,,,17.0,10.0,10.0,residential
508,,512,41934786,traffic_signals,,1.0,,secondary,0.0,-112.095762,33.4513033,,,,,0.0,0.0,
536,,540,42002630,traffic_signals,,1.0,,primary,0.0,-112.1001092,33.4469897,,,,,0.0,0.0,
557,,561,42038268,traffic_signals,,1.0,,secondary,0.0,-112.0966749,33.465840500000006,,,,,0.0,0.0,
583,,588,42217181,traffic_signals,,1.0,,secondary,0.0,-112.0801764,33.451413800000005,,,,,0.0,0.0,
588,,593,42217245,traffic_signals,,1.0,,residential,0.0,-112.1044648,33.451229600000005,,,,16.0,10.0,10.0,residential
599,,606,42287674,traffic_signals,,1.0,,secondary,0.0,-112.0802971,33.4657962,,,,,0.0,0.0,
623,,630,42339194,traffic_signals,,1.0,,motorway,0.0,-112.1077726,33.4491593,,,,,0.0,0.0,
660,,667,42452986,traffic_signals,,1.0,,tertiary,0.0,-112.0801751,33.4586673,,,,,0.0,0.0,
675,,683,42512604,traffic_signals,,1.0,,secondary,0.0,-112.0542241,33.4513772,,,,,0.0,0.0,
678,,686,42538134,traffic_signals,,1.0,,residential,0.0,-112.0981999,33.4470001,,,,21.0,10.0,10.0,residential
690,,699,42601611,traffic_signals,,1.0,,secondary,0.0,-112.1077579,33.4469578,,,,,0.0,0.0,
773,,782,256544869,traffic_signals,,1.0,,tertiary,0.0,-112.0691131,33.4586734,,,,,0.0,0.0,
786,,795,256633710,traffic_signals,,1.0,,motorway,0.0,-112.0779157,33.4616656,,,,,0.0,0.0,
787,,796,256633737,traffic_signals,,1.0,,motorway,0.0,-112.0798877,33.4613826,,,,,0.0,0.0,
888,,904,331893061,traffic_signals,,1.0,,primary,0.0,-112.0380617,33.4483599,,,,,0.0,0.0,
897,,916,331901518,traffic_signals,,1.0,,residential,0.0,-112.0674786,33.4482217,,,,23.0,10.0,10.0,residential
898,,917,331901521,traffic_signals,,1.0,,residential,0.0,-112.0712581,33.4482408,,,,23.0,10.0,10.0,residential
899,,918,331901522,traffic_signals,,1.0,,residential,0.0,-112.0725603,33.4481907,,,,23.0,10.0,10.0,residential
905,,924,331908914,traffic_signals,,1.0,,residential,0.0,-112.0738289,33.4503842,,,,18.0,10.0,10.0,residential
906,,925,331908916,traffic_signals,,1.0,,secondary,0.0,-112.0738317,33.4513869,,,,,0.0,0.0,
908,,930,331908928,traffic_signals,,1.0,,residential,0.0,-112.0737937,33.4566547,,,,13.0,10.0,10.0,residential
910,,932,331908934,traffic_signals,,1.0,,tertiary,0.0,-112.0737978,33.4586538,,,,,0.0,0.0,
924,,951,331927663,traffic_signals,,1.0,,residential,0.0,-112.0725524,33.4471174,,,,23.0,10.0,10.0,residential
925,,952,331927669,traffic_signals,,1.0,,residential,0.0,-112.0713071,33.4468348,,,,23.0,10.0,10.0,residential
926,,953,331927675,traffic_signals,,1.0,,residential,0.0,-112.0699552,33.4464123,,,,23.0,10.0,10.0,residential
927,,954,331927679,traffic_signals,,1.0,,residential,0.0,-112.0687152,33.446393900000004,,,,23.0,10.0,10.0,residential
928,,955,331929862,traffic_signals,,1.0,,secondary,0.0,-112.0738379,33.4471664,,,,,0.0,0.0,
929,,956,331930502,traffic_signals,,1.0,,secondary,0.0,-112.07509840000002,33.4482584,,,,,0.0,0.0,
930,,957,331932699,traffic_signals,,1.0,,residential,0.0,-112.07510659999998,33.449325800000004,,,,18.0,10.0,10.0,residential
933,,962,331932986,traffic_signals,,1.0,,primary,0.0,-112.0751883,33.4524078,,,,,0.0,0.0,
934,,963,331932987,traffic_signals,,1.0,,secondary,0.0,-112.0751893,33.4514007,,,,,0.0,0.0,
936,,965,331934576,traffic_signals,,1.0,,tertiary,0.0,-112.074672,33.4586154,,,,,0.0,0.0,
938,,967,331945389,traffic_signals,,1.0,,residential,0.0,-112.0737669,33.4600056,,,,8.0,10.0,10.0,residential
939,,968,331945396,traffic_signals,,1.0,,residential,0.0,-112.0737091,33.463957300000004,,,,3.0,10.0,10.0,residential
940,,969,331945398,traffic_signals,,1.0,,secondary,0.0,-112.0737057,33.4657239,,,,,0.0,0.0,
944,,973,331946006,traffic_signals,,1.0,,residential,0.0,-112.0739459,33.4599288,,,,8.0,10.0,10.0,residential
1042,,1076,1256224119,traffic_signals,,1.0,,residential,0.0,-112.0674906,33.4503895,,,,18.0,10.0,10.0,residential
1043,,1077,1256224131,traffic_signals,,1.0,,primary,0.0,-112.0651605,33.451369,,,,,0.0,0.0,
1090,,1132,1501879006,traffic_signals,,1.0,,residential,0.0,-112.0673004,33.4465574,,,,23.0,10.0,10.0,residential
1133,,1194,1502088692,traffic_signals,,1.0,,primary,0.0,-112.038064,33.4482173,,,,,0.0,0.0,
1148,,1210,1502089120,traffic_signals,,1.0,,primary,0.0,-112.0739289,33.454697700000004,,,,,0.0,0.0,
1149,,1212,1502089146,traffic_signals,,1.0,,residential,0.0,-112.07393,33.456681800000005,,,,13.0,10.0,10.0,residential
1151,,1215,1502089175,traffic_signals,,1.0,,primary,0.0,-112.0739344,33.4571543,,,,,0.0,0.0,
1154,,1218,1502089239,traffic_signals,,1.0,,tertiary,0.0,-112.0740643,33.4586408,,,,,0.0,0.0,
1191,,1255,1526072488,traffic_signals,,1.0,,secondary,0.0,-112.091419,33.447058899999995,,,,,0.0,0.0,
1196,,1260,1526072498,traffic_signals,,1.0,,residential,0.0,-112.0738239,33.4493262,,,,18.0,10.0,10.0,residential
1206,,1270,1526072530,traffic_signals,,1.0,,secondary,0.0,-112.0739386,33.4657208,,,,,0.0,0.0,
1214,,1278,1556606454,traffic_signals,,1.0,,secondary,0.0,-112.082562,33.4470999,,,,,0.0,0.0,
1216,,1280,1556606469,traffic_signals,,1.0,,residential,0.0,-112.0789467,33.4471255,,,,23.0,10.0,10.0,residential
1217,,1281,1556606545,traffic_signals,,1.0,,secondary,0.0,-112.0914357,33.4481435,,,,,0.0,0.0,
1221,,1285,1556606575,traffic_signals,,1.0,,secondary,0.0,-112.073834,33.4481963,,,,,0.0,0.0,
1225,,1289,1556606584,traffic_signals,,1.0,,secondary,0.0,-112.0825725,33.4482238,,,,,0.0,0.0,
1226,,1290,1556606597,traffic_signals,,1.0,,residential,0.0,-112.0789595,33.4482345,,,,23.0,10.0,10.0,residential
1227,,1291,1556606602,traffic_signals,,1.0,,residential,0.0,-112.0699544,33.4482395,,,,23.0,10.0,10.0,residential
1228,,1292,1556606607,traffic_signals,,1.0,,secondary,0.0,-112.077708,33.448243,,,,,0.0,0.0,
1231,,1298,1556606712,traffic_signals,,1.0,,residential,0.0,-112.0802068,33.4493043,,,,18.0,10.0,10.0,residential
1238,,1305,1584164112,traffic_signals,,1.0,,tertiary,0.0,-112.0390102,33.4586488,,,,,0.0,0.0,
1263,,1330,1680570139,traffic_signals,,1.0,,residential,0.0,-112.0777097,33.4493141,,,,18.0,10.0,10.0,residential
1268,,1335,1680570332,traffic_signals,,1.0,,residential,0.0,-112.069946,33.450371999999994,,,,18.0,10.0,10.0,residential
1271,,1338,1680570361,traffic_signals,,1.0,,residential,0.0,-112.076435,33.4514011,,,,18.0,10.0,10.0,residential
1272,,1339,1680570366,traffic_signals,,1.0,,secondary,0.0,-112.0777346,33.4514022,,,,,0.0,0.0,
1273,,1340,1680570374,traffic_signals,,1.0,,secondary,0.0,-112.0477045,33.4514216,,,,,0.0,0.0,
1281,,1350,1686021920,traffic_signals,,1.0,,residential,0.0,-112.0346566,33.4657766,,,,5.0,10.0,10.0,residential
1284,,1353,1686021930,traffic_signals,,1.0,,secondary,0.0,-112.030237,33.4657982,,,,,0.0,0.0,
1311,,1390,2281519345,traffic_signals,,1.0,,secondary,0.0,-112.0825551,33.4606641,,,,,0.0,0.0,
1322,,1401,2297714315,traffic_signals,,1.0,,secondary,0.0,-112.0913414,33.4513532,,,,,0.0,0.0,
1332,,1416,2361888695,traffic_signals,,1.0,,secondary,0.0,-112.082654,33.4658333,,,,,0.0,0.0,
1336,,1420,2454300614,traffic_signals,,1.0,,secondary,1.0,-112.0303108,33.444016600000005,,,,41.0,1000.0,1000.0,boundary
1337,,1421,2459943493,traffic_signals,,1.0,,secondary,0.0,-112.0563652,33.4657513,,,,,0.0,0.0,
1369,,1463,2990393881,traffic_signals,,1.0,,primary,0.0,-112.065251,33.458659000000004,,,,,0.0,0.0,
1377,,1471,2990405771,traffic_signals,,1.0,,primary,0.0,-112.0650827,33.4618833,,,,,0.0,0.0,
1379,,1473,2990405775,traffic_signals,,1.0,,primary,0.0,-112.065268,33.4625938,,,,,0.0,0.0,
1391,,1486,3073054588,traffic_signals,,1.0,,primary,0.0,-112.100096,33.461232,,,,,0.0,0.0,
1412,,1507,3182198591,traffic_signals,,1.0,,motorway,0.0,-112.0478028,33.462626,,,,,0.0,0.0,
1431,,1526,3380636100,traffic_signals,,1.0,,motorway,0.0,-112.0651553,33.4621878,,,,,0.0,0.0,
1435,,1530,3380637228,traffic_signals,,1.0,,motorway,0.0,-112.0652189,33.4622069,,,,,0.0,0.0,
1437,,1532,3460326507,traffic_signals,,1.0,,tertiary,0.0,-112.0912619,33.4586546,,,,,0.0,0.0,
1515,,1611,4146351302,traffic_signals,,1.0,,secondary,0.0,-112.0433794,33.4514194,,,,,0.0,0.0,
1776,,1872,5130216232,traffic_signals,,1.0,,motorway,0.0,-112.0379192,33.445142,,,,,0.0,0.0,
1777,,1873,5130629629,traffic_signals,,1.0,,motorway,0.0,-112.062474,33.4615553,,,,,0.0,0.0,
1828,,1924,5178237320,traffic_signals,,1.0,,primary,0.0,-112.100022,33.462135499999995,,,,,0.0,0.0,
5767,,5863,41610831;1307391606,traffic_signals,,1.0,,,,-112.069992,33.454482899999995,37.0,,,,0.0,0.0,
5768,,5864,41610835;1307391566,traffic_signals,,1.0,,,,-112.0679275,33.4544723,1.0,,,,0.0,0.0,
5769,,5865,41698393;1501879041,traffic_signals,,1.0,,,,-112.0620986,33.4471577,19.0,,,,0.0,0.0,
5770,,5866,41711786;2262241145,traffic_signals,,1.0,,,,-112.0699845,33.4513927,36.0,,,,0.0,0.0,
5771,,5867,42203712;2265572791,traffic_signals,,1.0,,,,-112.0712661,33.4513873,2.0,,,,0.0,0.0,
5772,,5868,42217253;2361888564,traffic_signals,,1.0,,,,-112.1077951,33.4512003,40.0,,,,0.0,0.0,
5773,,5869,42217263;2361888568,traffic_signals,,1.0,,,,-112.1085733,33.4512091,10.0,,,,0.0,0.0,
5774,,5870,42482209;1501879405,traffic_signals,,1.0,,,,-112.0751203,33.450367699999994,30.0,,,,0.0,0.0,
5775,,5871,42588673;1256304741,traffic_signals,,1.0,,,,-112.0674973,33.4513758,27.0,,,,0.0,0.0,
5776,,5872,256634186;2361888663,traffic_signals,,1.0,,,,-112.0827528,33.4610091,5.0,,,,0.0,0.0,
5777,,5873,317522337;1502088385,traffic_signals,,1.0,,,,-112.0499273,33.4472358,38.0,,,,0.0,0.0,
5778,,5874,331870600;1502088605,traffic_signals,,1.0,,,,-112.0346092,33.4482704,0.0,,,,0.0,0.0,
5779,,5875,331870601;1502088635,traffic_signals,,1.0,,,,-112.0365495,33.4482761,33.0,,,,0.0,0.0,
5780,,5876,331872250;1502088464,traffic_signals,,1.0,,,,-112.03657,33.4472923,23.0,,,,0.0,0.0,
5781,,5877,331872251;1502088440,traffic_signals,,1.0,,,,-112.03460590000002,33.4472852,14.0,,,,0.0,0.0,
5782,,5878,331872253;1498706162,traffic_signals,,1.0,,,,-112.030187,33.447200800000005,13.0,,,,0.0,0.0,
5783,,5879,331893064;1502088685,traffic_signals,,1.0,,,,-112.0433999,33.4482869,6.0,,,,0.0,0.0,
5784,,5880,331893068;1502088662,traffic_signals,,1.0,,,,-112.049914,33.4482811,18.0,,,,0.0,0.0,
5785,,5881,331893069;1502088653,traffic_signals,,1.0,,,,-112.05207959999998,33.448269399999994,7.0,,,,0.0,0.0,
5786,,5882,331908918;1502089054,traffic_signals,,1.0,,,,-112.0738638,33.4524162,25.0,,,,0.0,0.0,
5787,,5883,331908923;331908924,traffic_signals,,1.0,,,,-112.0737925,33.45458,28.0,,,,0.0,0.0,
5788,,5884,331917950;1502088337,traffic_signals,,1.0,,,,-112.0564437,33.4472031,17.0,,,,0.0,0.0,
5789,,5885,331917953;1502088378,traffic_signals,,1.0,,,,-112.0520793,33.4472217,39.0,,,,0.0,0.0,
5790,,5886,331917955;1502088417,traffic_signals,,1.0,,,,-112.0477656,33.447237699999995,15.0,,,,0.0,0.0,
5791,,5887,331917958;1502088414,traffic_signals,,1.0,,,,-112.0433988,33.4472429,16.0,,,,0.0,0.0,
5792,,5888,331917961;1502088462,traffic_signals,,1.0,,,,-112.0380908,33.447284700000004,35.0,,,,0.0,0.0,
5793,,5889,331932980;1502089154,traffic_signals,,1.0,,,,-112.0751278,33.4566913,41.0,,,,0.0,0.0,
5794,,5890,331932983;1502089122,traffic_signals,,1.0,,,,-112.0751384,33.4547085,9.0,,,,0.0,0.0,
5795,,5891,339426173;3860801371,traffic_signals,,1.0,,,,-112.0935182,33.4470379,34.0,,,,0.0,0.0,
5796,,5892,369001974;369001981,traffic_signals,,1.0,,,,-112.1104389,33.4659028,11.0,,,,0.0,0.0,
5797,,5893,369001975;369001988,traffic_signals,,1.0,,,,-112.1092687,33.465893,26.0,,,,0.0,0.0,
5798,,5894,1387218463;1387218464,traffic_signals,,1.0,,,,-112.0693491,33.4624048,24.0,,,,0.0,0.0,
5799,,5895,1406288328;2459943621,traffic_signals,,1.0,,,,-112.0956341,33.4658433,32.0,,,,0.0,0.0,
5800,,5896,1498706431;1556606637,traffic_signals,,1.0,,,,-112.0301865,33.4482424,4.0,,,,0.0,0.0,
5801,,5897,1501879352;1502088607,traffic_signals,,1.0,,,,-112.0620991,33.448266700000005,20.0,,,,0.0,0.0,
5802,,5898,1502088565;1556606634,traffic_signals,,1.0,,,,-112.0564338,33.4482421,8.0,,,,0.0,0.0,
5803,,5899,1502088659;1556606650,traffic_signals,,1.0,,,,-112.0477816,33.4482858,3.0,,,,0.0,0.0,
5804,,5900,1686021911;1686021912;1686021940;1686021941;1945648748;1945648751;1945648753;1945648761;1945648763;1945648769,traffic_signals,,1.0,,,,-112.0380871,33.4658204,29.0,,,,0.0,0.0,
5805,,5901,2361888665;2361888668,traffic_signals,,1.0,,,,-112.0825597,33.4609949,12.0,,,,0.0,0.0,
5806,,5902,2459943606;2990408542,traffic_signals,,1.0,,,,-112.0651077,33.4657212,31.0,,,,0.0,0.0,
5807,,5903,2980248905;2980248906;2980248908;2980248910,traffic_signals,,1.0,,,,-112.0650959,33.4471576,21.0,,,,0.0,0.0,
5808,,5904,2980264691;2980264692;2980280347;2980280351,traffic_signals,,1.0,,,,-112.0651133,33.448307,22.0,,,,0.0,0.0,
