link_id,from_node_id,to_node_id,date,FT,AT,assignment_period,period_volume,period_mean_hourly_volume_per_lane,period_mean_daily_speed,period_mean_density,t0_index,t3_index,t0,t3,demand,average_discharge_rate,peak_hour_factor,congestion_duration,congestion_period_mean_speed,geometry,length,adjusted_demand,period_peak_hour_factor,ultimate_capacity,period_capacity,period_demand_over_capacity,hourly_demand_over_capacity,period_mean_volume,period_mean_speed,alpha,beta,gamma,queue_series,max_queue_length,VDF_TYPE,daily_alpha,daily_beta
1317,511,512,1/1/2016,1,1,0600_0900,2220.333333333333,740.111111111111,60.685185183333324,12.06165841014787,0,0,none,none,430.0,381.3333333333333,5.163565891472867,<PSTW,58.666666664999994,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,430.0,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.3519789928476988,3331.90466954023,63.054984501398465,0.98,4.01,1.9168431847113543,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/10/2016,1,1,0600_0900,1584.6666666666665,528.2222222222222,59.97222222083334,8.793233734190112,0,0,none,none,435.33333333333337,338.6666666666667,3.640122511485451,<PSTW,59.138888890000004,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,435.33333333333337,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.2566009953515755,3331.90466954023,63.054984501398465,0.98,4.01,1.0590708204998862,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/11/2016,1,1,0600_0900,3182.333333333333,1060.7777777777776,61.10185185166666,17.364685160048527,0,0,none,none,1067.6666666666667,801.3333333333334,2.9806431470496406,<PSTW,60.361111109999996,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,1067.6666666666667,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.506730018867806,3331.90466954023,63.054984501398465,0.98,4.01,78.54685116224866,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/12/2016,1,1,0600_0900,2957.666666666667,985.888888888889,61.657407406666664,15.987078480576569,0,0,none,none,1031.0,793.3333333333334,2.868735855156806,<PSTW,61.666666665,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,1031.0,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.46652919447927504,3331.90466954023,63.054984501398465,0.98,4.01,74.70355130461954,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/13/2016,1,1,0600_0900,3063.333333333333,1021.111111111111,61.60185185083333,16.58114109822227,0,0,none,none,1073.0,873.3333333333334,2.8549238894066478,<PSTW,61.055555552499996,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,1073.0,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.48386491687641076,3331.90466954023,63.054984501398465,0.98,4.01,120.77107148360764,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/14/2016,1,1,0600_0900,2707.0000000000005,902.3333333333335,61.370370369999996,14.69563346693399,0,0,none,none,826.3333333333334,888.0,3.27591770875353,<PSTW,61.25,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,826.3333333333334,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.428842708942787,3331.90466954023,63.054984501398465,0.98,4.01,131.25853879933973,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/15/2016,1,1,0600_0900,1431.0,636.0,62.00617283888889,10.29899132898764,0,0,none,none,635.6666666666667,60.0,2.251179863660199,<PSTW,62.180555555000005,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,635.6666666666667,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.3005414738220738,3331.90466954023,63.054984501398465,0.98,4.01,0.00018484980139831105,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/16/2016,1,1,0600_0900,2107.666666666667,702.5555555555557,61.25925926,11.416340419834528,0,0,none,none,544.6666666666666,462.6666666666667,3.8696450428396583,<PSTW,59.0555555575,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,544.6666666666666,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.33314755453521167,3331.90466954023,63.054984501398465,0.98,4.01,5.039689655545442,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/17/2016,1,1,0600_0900,1520.666666666667,506.88888888888897,60.564814815,8.345765073367163,0,0,none,none,450.6666666666667,236.0,3.374260355029586,<PSTW,59.5555555575,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,450.6666666666667,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.24354312526342406,3331.90466954023,63.054984501398465,0.98,4.01,0.1740294514370064,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
1317,511,512,1/18/2016,1,1,0600_0900,2822.0,940.6666666666666,61.620370371666674,15.265231758339128,0,0,none,none,954.3333333333333,816.0,2.9570380719524976,<PSTW,60.75,"LINESTRING (-112.0940396 33.461977, -112.0985831 33.4619612)",1.3,954.3333333333333,3.189561993204302,1744.1176749512488,5562.971447700357,0.5989433346665092,0.4454645221395423,3331.90466954023,63.054984501398465,0.98,4.01,86.00298601316409,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.0,101,0.42,4.13
